TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,"OPP PTS
Dallas Mavericks,82,24,58,48.3,108.4,33.1,74.9,7.0,3.8,13.9,11.4,14.3,42.2,2017
Memphis Grizzlies,82,22,60,48.1,110.4,31.0,72.1,7.5,4.8,17.3,11.8,14.3,42.1,2017
Phoenix Suns,82,21,61,48.1,111.7,33.9,72.4,6.9,4.5,18.6,13.2,14.6,47.1,2017
Golden State Warriors,82,67,15,48.2,103.4,35.0,70.9,9.6,6.8,16.7,14.0,14.4,45.4,2016
San Antonio Spurs,82,61,21,48.3,102.9,33.9,73.0,8.0,5.9,14.7,12.4,12.6,40.8,2016
Houston Rockets,82,55,27,48.2,108.4,33.5,71.7,8.2,4.3,17.5,13.8,14.3,49.0,2016
Boston Celtics,82,53,29,48.2,108.0,32.9,70.5,7.5,4.1,15.2,13.9,12.2,43.2,2016
Cleveland Cavaliers,82,51,31,48.5,109.7,34.4,72.2,6.6,4.0,16.6,13.7,13.3,44.5,2016
LA Clippers,82,51,31,48.2,107.5,34.0,73.3,7.5,4.2,15.2,12.7,14.3,42.7,2016
Toronto Raptors,82,51,31,48.2,107.1,32.6,71.7,8.3,4.9,14.9,13.1,11.5,41.7,2016
Utah Jazz,82,51,31,48.2,104.7,33.8,74.3,6.7,5.0,15.2,10.7,10.5,41.0,2016
Washington Wizards,82,49,33,48.4,108.8,32.6,71.6,8.5,4.1,16.4,13.8,12.1,43.9,2016
Oklahoma City Thunder,82,47,35,48.3,107.1,34.4,74.2,7.9,5.0,16.9,12.2,11.1,47.5,2016
Atlanta Hawks,82,43,39,48.5,105.2,34.1,71.7,8.2,4.8,17.4,13.2,12.8,39.1,2016
Memphis Grizzlies,82,43,39,48.5,106.5,32.0,73.1,8.0,4.2,14.8,11.5,14.6,37.8,2016
Indiana Pacers,82,42,40,48.4,108.1,33.0,71.3,8.2,5.0,16.2,12.9,10.6,39.7,2016
Milwaukee Bucks,82,42,40,48.2,108.7,31.6,70.6,8.1,5.3,16.2,12.7,11.7,43.7,2016
Chicago Bulls,82,41,41,48.2,106.2,34.1,73.3,7.8,4.8,15.5,11.9,13.7,45.2,2016
Miami Heat,82,41,41,48.2,106.4,33.0,71.8,7.2,5.7,13.9,12.8,10.3,44.5,2016
Portland Trail Blazers,82,41,41,48.6,110.0,33.5,72.0,7.0,5.0,15.7,12.6,12.7,42.9,2016
Denver Nuggets,82,40,42,48.2,111.7,34.6,75.3,6.9,3.9,18.0,12.2,14.3,47.4,2016
Detroit Pistons,82,37,45,48.3,106.7,34.6,77.5,7.0,3.8,12.7,10.1,10.7,41.2,2016
Charlotte Hornets,82,36,46,48.4,108.4,34.8,74.9,7.0,4.8,13.1,11.4,12.9,40.5,2016
New Orleans Pelicans,82,34,48,48.5,106.8,35.1,72.8,7.8,5.5,15.6,12.4,13.6,44.1,2016
Dallas Mavericks,82,33,49,48.2,107.7,30.7,73.3,7.5,3.7,14.0,11.6,13.6,39.5,2016
Sacramento Kings,82,32,50,48.5,110.8,32.3,72.3,7.6,4.0,17.4,12.5,14.7,40.7,2016
Minnesota Timberwolves,82,31,51,48.3,110.9,31.0,71.0,8.0,4.5,17.2,13.4,13.9,46.2,2016
New York Knicks,82,31,51,48.4,110.7,33.2,69.8,7.1,5.5,16.5,14.7,14.0,46.1,2016
Orlando Magic,82,29,53,48.3,110.3,33.3,72.6,7.1,4.8,15.9,13.3,13.0,46.6,2016
Philadelphia 76ers,82,28,54,48.4,108.2,33.0,70.9,8.4,5.1,18.5,13.4,15.3,45.1,2016
Los Angeles Lakers,82,26,56,48.1,112.0,32.1,71.7,8.2,3.9,18.0,13.3,16.2,47.4,2016
Phoenix Suns,82,24,58,48.4,111.3,33.1,71.8,8.2,4.9,18.1,13.5,16.0,44.0,2016
Brooklyn Nets,82,20,62,48.2,110.1,35.1,71.6,7.2,4.7,19.1,14.3,14.0,45.0,2016
Golden State Warriors,82,73,9,48.5,102.8,36.2,72.0,8.4,6.1,16.6,13.8,14.5,45.1,2015
San Antonio Spurs,82,67,15,48.1,98.2,34.5,74.6,8.3,5.9,13.5,10.6,12.1,40.1,2015
Cleveland Cavaliers,82,57,25,48.4,103.9,33.9,74.2,6.7,3.9,15.5,11.2,11.2,40.8,2015
Toronto Raptors,82,56,26,48.2,104.8,33.2,73.6,7.8,5.5,14.2,11.6,11.0,40.1,2015
Oklahoma City Thunder,82,55,27,48.4,104.8,35.6,72.0,7.4,5.9,17.6,13.9,13.2,45.2,2015
LA Clippers,82,53,29,48.4,102.7,33.3,69.7,8.6,5.6,14.5,13.8,12.4,41.3,2015
Atlanta Hawks,82,48,34,48.4,100.8,33.8,69.8,9.1,5.9,16.0,13.1,11.9,40.9,2015
Boston Celtics,82,48,34,48.2,102.5,33.3,70.7,9.2,4.2,14.8,14.2,10.8,43.0,2015
Charlotte Hornets,82,48,34,48.4,103.7,35.0,75.4,7.3,5.3,14.1,11.4,12.4,40.0,2015
Miami Heat,82,48,34,48.4,103.7,34.3,72.9,6.7,6.5,15.6,13.0,10.7,42.0,2015
Indiana Pacers,82,45,37,48.5,102.2,33.9,71.4,9.0,4.8,16.3,13.0,12.2,41.6,2015
Detroit Pistons,82,44,38,48.5,104.9,33.9,75.3,7.0,3.7,14.6,10.7,10.4,44.4,2015
Portland Trail Blazers,82,44,38,48.3,106.8,33.9,72.8,6.9,4.6,16.3,12.4,11.1,40.9,2015
Chicago Bulls,82,42,40,48.5,105.5,35.2,71.4,6.0,5.7,16.0,14.3,13.8,44.4,2015
Dallas Mavericks,82,42,40,48.8,105.9,33.9,72.3,6.8,3.7,14.8,13.4,16.0,40.9,2015
Memphis Grizzlies,82,42,40,48.4,107.1,30.5,70.9,8.8,4.3,15.1,11.8,14.6,38.5,2015
Houston Rockets,82,41,41,48.4,107.3,31.7,69.2,10.0,5.2,19.5,14.7,14.4,44.6,2015
Washington Wizards,82,41,41,48.2,105.1,32.8,73.7,8.6,3.9,15.7,11.7,12.7,41.2,2015
Utah Jazz,82,40,42,48.7,103.2,32.5,73.1,7.7,5.2,16.0,11.5,11.7,39.6,2015
Orlando Magic,82,35,47,48.5,106.0,33.0,72.6,8.2,5.1,16.0,11.4,13.2,43.5,2015
Denver Nuggets,82,33,49,48.4,108.2,33.1,73.2,7.4,4.8,16.8,12.1,13.0,43.1,2015
Milwaukee Bucks,82,33,49,48.4,107.8,31.2,68.9,8.2,5.8,17.7,14.1,13.0,44.0,2015
Sacramento Kings,82,33,49,48.3,107.6,33.7,71.7,8.9,4.5,18.6,13.6,15.0,43.6,2015
New York Knicks,82,32,50,48.3,106.7,34.0,71.8,5.7,5.7,15.4,12.7,12.8,43.1,2015
New Orleans Pelicans,82,30,52,48.2,108.4,33.1,74.8,7.7,4.2,14.9,11.3,11.7,43.2,2015
Minnesota Timberwolves,82,29,53,48.5,109.0,31.5,70.2,8.0,4.6,17.8,13.2,13.4,46.1,2015
Phoenix Suns,82,23,59,48.1,107.9,33.3,73.3,7.7,3.8,20.2,12.6,17.3,43.8,2015
Brooklyn Nets,82,21,61,48.2,109.7,31.9,71.6,7.6,4.0,18.3,12.1,14.5,47.9,2015
Los Angeles Lakers,82,17,65,48.1,110.3,32.3,71.2,7.2,4.1,16.5,14.3,17.0,47.8,2015
Philadelphia 76ers,82,10,72,48.3,108.6,31.8,69.3,8.3,6.0,20.0,14.7,16.7,45.6,2015
Golden State Warriors,82,67,15,48.1,100.4,34.3,70.3,9.3,6.0,15.2,14.2,13.9,41.6,2014
Atlanta Hawks,82,60,22,48.1,102.3,31.8,69.7,9.1,4.6,15.7,14.2,11.2,39.4,2014
Houston Rockets,82,56,26,48.3,102.6,32.0,68.6,9.5,5.0,18.3,14.0,15.3,44.1,2014
Los Angeles Clippers,82,56,26,48.1,104.7,33.1,71.6,7.8,5.0,14.9,12.8,12.3,38.8,2014
Memphis Grizzlies,82,55,27,48.5,101.2,32.1,71.6,8.5,4.2,14.1,11.6,13.4,39.0,2014
San Antonio Spurs,82,55,27,48.7,101.4,33.8,73.0,8.0,5.4,15.1,11.9,14.1,42.5,2014
Cleveland Cavaliers,82,53,29,48.2,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7,2014
Portland Trail Blazers,82,51,31,48.4,102.8,35.1,72.8,6.4,4.5,15.1,13.8,13.3,43.1,2014
Chicago Bulls,82,50,32,48.5,103.3,34.0,70.9,6.3,5.8,15.3,13.2,13.0,40.8,2014
Dallas Mavericks,82,50,32,48.5,104.9,31.8,68.1,8.1,4.5,15.2,14.0,15.9,40.9,2014
Toronto Raptors,82,49,33,48.4,107.1,30.8,68.9,7.5,4.4,15.0,14.1,12.4,43.7,2014
Washington Wizards,82,46,36,48.7,102.4,34.2,72.6,7.3,4.6,16.3,12.6,11.7,38.3,2014
New Orleans Pelicans,82,45,37,48.2,106.3,32.0,71.2,6.7,6.2,14.8,12.9,13.7,46.5,2014
Oklahoma City Thunder,82,45,37,48.4,104.6,34.7,73.0,7.3,5.5,16.5,12.8,12.5,42.8,2014
Milwaukee Bucks,82,41,41,48.6,101.4,31.4,68.6,9.6,4.9,16.8,13.3,10.7,39.8,2014
Boston Celtics,82,40,42,48.5,103.5,32.7,71.0,8.2,3.6,16.2,13.5,10.9,44.6,2014
Phoenix Suns,82,39,43,48.5,105.3,32.2,69.8,8.5,4.7,17.2,14.4,15.2,45.3,2014
Brooklyn Nets,82,38,44,48.6,106.3,32.0,70.1,7.0,4.1,15.6,14.0,13.8,43.6,2014
Indiana Pacers,82,38,44,48.4,102.7,34.4,73.5,6.2,4.6,15.5,11.8,13.0,38.3,2014
Utah Jazz,82,38,44,48.1,104.1,31.9,71.5,7.6,6.0,17.4,12.5,12.6,39.5,2014
Miami Heat,82,37,45,48.1,106.1,30.0,68.7,7.8,4.5,16.9,13.3,11.4,41.0,2014
Charlotte Hornets,82,33,49,48.5,103.0,34.1,74.6,6.1,5.5,12.8,12.6,11.0,38.5,2014
Detroit Pistons,82,32,50,48.4,105.4,32.1,71.2,7.6,4.7,15.8,13.5,11.3,43.0,2014
Denver Nuggets,82,30,52,48.5,107.1,32.4,70.0,7.8,4.5,16.4,14.1,13.2,42.9,2014
Sacramento Kings,82,29,53,48.4,108.2,33.3,71.5,6.7,4.0,18.6,13.6,16.8,43.9,2014
Orlando Magic,82,25,57,48.2,106.8,31.8,71.6,7.9,3.8,16.9,11.7,12.3,41.0,2014
Los Angeles Lakers,82,21,61,48.6,109.4,32.3,72.0,7.0,4.5,15.9,12.5,15.1,45.1,2014
Philadelphia 76ers,82,18,64,48.3,103.9,30.9,68.6,9.6,5.9,20.6,14.0,14.6,41.7,2014
New York Knicks,82,17,65,48.4,109.0,29.8,69.1,7.0,4.7,17.1,12.5,12.3,41.1,2014
Minnesota Timberwolves,82,16,66,48.3,110.9,29.3,68.2,8.1,4.0,17.4,14.9,14.3,48.0,2014
San Antonio Spurs,82,62,20,48.2,101.4,34.0,72.5,7.4,5.1,16.3,12.7,12.8,42.2,2013
Oklahoma City Thunder,82,59,23,48.3,103.0,33.9,72.2,8.3,6.1,17.3,12.3,12.8,39.7,2013
Los Angeles Clippers,82,57,25,48.2,104.0,32.5,69.0,8.6,4.8,15.6,14.2,11.1,44.6,2013
Indiana Pacers,82,56,26,48.2,98.9,34.5,72.1,6.7,5.4,15.4,11.7,11.7,35.7,2013
Houston Rockets,82,54,28,48.4,105.2,34.1,70.0,7.6,5.6,18.0,14.6,13.8,44.0,2013
Miami Heat,82,54,28,48.5,105.0,29.2,68.6,8.9,4.5,17.4,13.3,12.0,41.1,2013
Portland Trail Blazers,82,54,28,48.4,106.2,34.0,71.3,5.5,4.7,15.6,14.0,13.3,45.6,2013
Golden State Warriors,82,51,31,48.4,101.4,34.4,72.4,7.8,5.0,17.0,13.0,13.3,40.7,2013
Memphis Grizzlies,82,50,32,48.3,103.8,30.8,71.8,7.7,4.6,15.6,11.5,13.4,38.6,2013
Dallas Mavericks,82,49,33,48.4,107.2,30.7,69.4,8.6,4.3,16.2,13.5,15.6,43.6,2013
Chicago Bulls,82,48,34,48.6,99.9,32.7,71.3,7.2,5.2,15.6,11.7,12.4,37.0,2013
Phoenix Suns,82,48,34,48.2,105.6,31.7,69.9,8.4,4.6,16.9,14.3,14.1,45.5,2013
Toronto Raptors,82,48,34,48.7,104.6,31.1,70.1,7.0,4.2,16.8,13.1,12.1,42.9,2013
Brooklyn Nets,82,44,38,48.5,106.7,29.4,68.6,8.6,3.8,16.6,12.8,13.0,41.1,2013
Washington Wizards,82,44,38,48.9,103.6,31.4,71.9,8.1,4.6,16.8,12.9,12.3,41.9,2013
Charlotte Bobcats,82,43,39,48.5,103.3,33.2,73.0,6.1,5.1,14.0,12.6,10.2,38.8,2013
Minnesota Timberwolves,82,40,42,48.4,105.2,32.2,71.5,8.8,3.6,15.9,12.9,16.3,46.1,2013
Atlanta Hawks,82,38,44,48.4,105.7,31.3,71.1,8.3,4.0,17.3,13.1,12.4,42.5,2013
New York Knicks,82,37,45,48.4,108.1,29.7,70.5,7.7,4.5,15.0,12.7,11.7,39.5,2013
Denver Nuggets,82,36,46,48.2,107.3,33.1,70.3,7.5,5.6,17.6,14.1,13.5,45.3,2013
New Orleans Pelicans,82,34,48,48.4,109.1,30.3,69.4,7.9,6.4,16.1,12.9,13.5,43.8,2013
Cleveland Cavaliers,82,33,49,48.6,107.0,32.1,71.1,7.1,3.7,16.6,12.6,12.1,38.9,2013
Detroit Pistons,82,29,53,48.2,109.0,30.8,69.3,8.4,4.8,16.9,14.0,14.1,44.3,2013
Sacramento Kings,82,28,54,48.4,107.8,32.4,72.5,7.2,3.9,17.1,11.9,15.3,41.9,2013
Los Angeles Lakers,82,27,55,48.1,109.3,32.0,67.6,7.5,5.4,18.3,15.8,16.7,49.2,2013
Boston Celtics,82,25,57,48.1,106.5,30.5,70.8,7.1,4.2,16.5,13.8,13.3,44.8,2013
Utah Jazz,82,25,57,48.2,110.1,30.2,70.8,7.0,4.5,17.4,12.3,15.6,45.8,2013
Orlando Magic,82,23,59,48.7,106.6,32.4,71.4,7.7,4.3,16.7,13.0,13.2,39.9,2013
Philadelphia 76ers,82,19,63,48.4,109.0,31.2,68.4,9.3,4.0,19.2,14.1,16.6,44.2,2013
Milwaukee Bucks,82,15,67,48.5,110.2,29.3,67.8,6.6,4.9,17.8,13.2,12.9,42.4,2013
Miami Heat,82,66,16,48.5,103.2,30.4,67.8,8.7,5.4,15.7,14.7,11.9,39.9,2012
Oklahoma City Thunder,82,60,22,48.4,101.2,33.2,70.2,8.3,7.6,16.7,13.6,12.5,40.7,2012
San Antonio Spurs,82,58,24,48.5,100.3,33.2,71.5,8.5,5.4,16.4,12.5,14.2,40.0,2012
Denver Nuggets,82,57,25,48.5,104.2,31.7,67.5,9.3,6.5,17.3,14.8,12.2,40.7,2012
Los Angeles Clippers,82,56,26,48.1,102.8,30.2,69.7,9.6,5.6,16.0,13.0,12.3,37.2,2012
Memphis Grizzlies,82,56,26,48.3,99.1,29.8,70.2,8.6,5.3,14.9,11.9,12.4,38.0,2012
New York Knicks,82,54,28,48.1,105.4,29.7,70.8,8.2,3.6,13.5,12.4,12.1,39.7,2012
Brooklyn Nets,82,49,33,48.4,104.8,30.0,70.1,7.3,4.8,16.9,12.4,13.9,43.4,2012
Indiana Pacers,81,49,32,48.4,99.0,33.0,70.1,7.2,6.3,16.0,12.9,10.1,35.5,2012
Golden State Warriors,82,47,35,48.3,104.2,34.2,71.2,6.9,4.2,17.3,13.9,13.8,40.4,2012
Chicago Bulls,82,45,37,48.4,101.9,30.7,69.9,7.2,5.1,15.4,12.7,13.1,39.3,2012
Houston Rockets,82,45,37,48.2,105.3,32.3,71.0,8.3,4.4,18.4,12.6,14.2,41.9,2012
Los Angeles Lakers,82,45,37,48.2,105.9,33.3,70.2,7.0,5.2,16.7,13.8,15.9,44.1,2012
Atlanta Hawks,82,44,38,48.4,103.4,31.6,70.1,8.1,4.5,16.7,13.2,12.0,41.0,2012
Utah Jazz,82,43,39,48.5,105.6,30.0,69.7,8.4,6.3,16.9,12.5,13.4,42.6,2012
Boston Celtics,81,41,40,49.0,102.6,31.3,69.0,8.2,4.5,16.9,14.2,12.1,42.7,2012
Dallas Mavericks,82,41,41,48.7,105.4,32.6,69.8,7.9,5.5,17.1,13.6,14.0,41.1,2012
Milwaukee Bucks,82,38,44,48.4,104.2,30.9,67.8,8.4,6.7,16.8,14.6,15.1,46.2,2012
Philadelphia 76ers,82,34,48,48.2,104.7,30.4,69.5,7.4,4.7,14.5,12.2,12.5,40.2,2012
Toronto Raptors,82,34,48,48.7,106.4,29.6,68.8,7.3,4.8,15.5,13.1,11.9,42.5,2012
Portland Trail Blazers,82,33,49,48.4,107.9,30.2,70.2,6.6,4.3,17.2,13.4,14.6,47.4,2012
Minnesota Timberwolves,82,31,51,48.1,104.0,30.2,70.2,8.5,4.7,16.5,12.7,14.0,42.3,2012
Detroit Pistons,82,29,53,48.3,107.2,30.0,69.5,7.0,4.9,17.8,13.5,13.5,42.9,2012
Washington Wizards,82,29,53,48.4,101.6,32.3,70.6,7.3,4.6,16.8,12.6,12.0,38.1,2012
Sacramento Kings,82,28,54,48.4,110.0,29.1,67.3,8.2,4.2,17.6,14.2,16.7,45.2,2012
New Orleans Hornets,82,27,55,48.2,108.9,29.6,70.5,6.3,5.4,17.3,12.8,13.2,43.2,2012
Phoenix Suns,82,25,57,48.3,106.9,29.9,68.7,8.0,5.3,18.6,13.5,14.9,45.6,2012
Cleveland Cavaliers,82,24,58,48.1,108.2,28.8,69.5,7.9,4.1,16.2,13.6,13.1,42.5,2012
Charlotte Bobcats,82,21,61,48.3,110.3,29.1,67.9,7.2,5.8,17.0,14.0,13.8,43.9,2012
Orlando Magic,82,20,62,48.2,108.4,31.9,70.7,6.4,4.4,16.8,12.7,12.6,42.8,2012
Chicago Bulls,66,50,16,48.3,97.5,32.8,70.3,6.9,5.9,15.4,11.9,12.1,38.2,2011
San Antonio Spurs,66,50,16,48.3,102.3,32.6,72.0,7.4,4.4,15.2,11.1,14.0,40.5,2011
Oklahoma City Thunder,66,47,19,48.5,102.1,32.7,68.7,7.5,8.2,16.7,14.7,12.3,42.4,2011
Miami Heat,66,46,20,48.6,99.2,31.2,69.3,8.9,5.4,16.6,13.1,11.9,36.6,2011
Indiana Pacers,66,42,24,48.5,102.1,31.4,68.9,7.9,5.4,15.1,13.0,12.5,38.1,2011
Los Angeles Lakers,66,41,25,48.7,103.2,34.1,71.9,5.9,5.3,16.6,12.7,15.1,40.4,2011
Memphis Grizzlies,66,41,25,48.3,100.6,29.5,68.8,9.6,5.2,16.0,12.5,12.1,40.3,2011
Atlanta Hawks,66,40,26,49.0,100.4,31.3,70.3,8.1,4.6,16.0,12.6,12.0,40.5,2011
Los Angeles Clippers,66,40,26,48.4,104.8,29.4,69.2,8.4,4.8,15.1,12.9,12.3,38.6,2011
Boston Celtics,66,39,27,48.3,97.5,31.1,68.6,7.5,5.5,16.2,13.5,11.5,39.8,2011
Denver Nuggets,66,38,28,48.6,105.1,31.9,70.5,8.2,5.0,17.3,12.6,12.2,39.5,2011
Orlando Magic,66,37,29,48.4,103.4,31.2,72.0,6.8,4.2,16.2,11.8,10.9,37.4,2011
Dallas Mavericks,66,36,30,48.7,100.9,32.7,71.4,8.6,5.1,15.8,12.3,14.4,38.9,2011
New York Knicks,66,36,30,48.3,100.2,30.5,70.2,9.4,4.2,17.8,12.6,12.4,38.9,2011
Utah Jazz,66,36,30,49.0,104.9,31.1,70.3,8.3,5.8,15.3,12.2,14.4,42.3,2011
Philadelphia 76ers,66,35,31,48.2,98.2,32.5,71.2,8.0,5.2,11.6,11.7,10.2,36.4,2011
Houston Rockets,66,34,32,48.7,104.0,30.5,69.2,7.5,4.8,16.7,13.3,13.7,44.5,2011
Phoenix Suns,66,33,33,48.0,105.2,30.8,68.7,6.5,5.5,15.2,14.2,12.6,43.4,2011
Milwaukee Bucks,66,31,35,48.1,104.1,30.0,67.5,8.3,5.1,16.5,13.8,13.4,41.4,2011
Portland Trail Blazers,66,28,38,48.4,105.3,29.5,69.1,8.0,4.9,16.0,13.4,14.3,42.2,2011
Minnesota Timberwolves,66,26,40,48.3,105.3,31.7,69.3,6.6,4.4,18.4,14.0,15.8,44.1,2011
Detroit Pistons,66,25,41,48.4,105.0,28.5,68.9,7.0,4.2,18.4,12.2,14.0,40.1,2011
Golden State Warriors,66,23,43,48.2,107.3,29.5,65.8,8.0,5.5,16.2,15.3,14.4,43.1,2011
Toronto Raptors,66,23,43,48.4,103.6,31.4,70.8,6.5,4.9,15.4,12.3,12.5,37.6,2011
New Jersey Nets,66,22,44,48.2,108.1,28.5,67.7,7.5,3.9,17.7,13.6,14.8,44.2,2011
Sacramento Kings,66,22,44,48.2,108.7,29.5,67.0,8.5,4.9,17.8,14.4,17.1,48.2,2011
Cleveland Cavaliers,66,21,45,48.4,107.6,29.5,68.3,7.1,4.0,16.9,14.5,11.7,43.6,2011
New Orleans Hornets,66,21,45,48.3,103.9,30.2,69.6,7.4,4.8,17.7,13.3,12.9,40.9,2011
Washington Wizards,66,20,46,48.1,104.9,29.9,67.8,8.0,6.3,18.2,14.5,14.5,40.7,2011
Charlotte Bobcats,66,7,59,48.2,109.4,28.7,67.8,6.0,5.5,17.2,15.4,16.0,48.3,2011
Chicago Bulls,82,62,20,48.4,99.5,32.4,71.7,7.2,5.7,15.4,11.9,13.0,36.2,2010
San Antonio Spurs,82,61,21,48.2,104.4,31.7,71.1,7.3,4.5,15.3,13.2,14.0,41.2,2010
Miami Heat,82,58,24,48.2,102.9,32.5,71.5,6.6,5.2,15.5,12.8,13.0,38.6,2010
Dallas Mavericks,82,57,25,48.1,104.1,31.9,71.3,6.8,4.3,15.4,12.6,13.9,42.0,2010
Los Angeles Lakers,82,57,25,48.4,103.3,31.9,69.2,7.3,5.1,14.7,13.8,13.7,39.9,2010
Boston Celtics,82,56,26,48.2,99.8,31.0,70.9,8.2,4.2,15.1,12.5,11.2,37.0,2010
Oklahoma City Thunder,82,55,27,48.8,105.9,31.8,69.7,8.0,5.9,15.4,14.4,12.3,44.9,2010
Orlando Magic,82,52,30,48.4,101.8,32.7,72.3,6.7,4.7,16.5,11.5,10.7,35.4,2010
Denver Nuggets,82,50,32,48.1,106.8,32.3,71.6,7.4,4.3,15.6,13.2,12.2,41.2,2010
Portland Trail Blazers,82,48,34,48.3,105.7,27.2,68.2,8.0,4.4,15.0,13.3,11.4,40.2,2010
Memphis Grizzlies,82,46,36,48.5,104.5,29.2,68.2,9.4,5.4,15.3,12.7,15.0,40.3,2010
New Orleans Hornets,82,46,36,48.4,104.4,30.1,72.1,7.6,4.4,14.6,10.5,11.7,38.1,2010
Atlanta Hawks,82,44,38,48.1,105.8,30.0,71.0,6.1,4.2,15.2,12.8,14.1,40.5,2010
Houston Rockets,82,43,39,48.5,107.9,31.1,69.0,7.1,4.5,15.2,14.3,14.7,45.9,2010
New York Knicks,82,42,40,48.2,109.0,30.1,67.6,7.6,5.8,16.1,14.5,12.7,46.0,2010
Philadelphia 76ers,82,41,41,48.6,103.8,31.4,71.4,7.6,4.3,14.7,12.2,13.3,41.0,2010
Phoenix Suns,82,40,42,48.8,109.4,30.2,68.1,6.6,4.4,16.8,14.0,14.0,43.8,2010
Utah Jazz,82,39,43,48.5,108.8,28.5,67.9,7.7,5.9,16.6,12.9,13.1,40.3,2010
Indiana Pacers,82,37,45,48.2,105.0,32.4,70.3,7.1,5.6,17.1,12.9,13.3,39.0,2010
Golden State Warriors,82,36,46,48.4,109.4,28.9,65.9,9.0,5.0,17.6,14.4,19.3,45.5,2010
Milwaukee Bucks,82,35,47,48.4,101.5,30.2,71.0,7.5,4.9,14.8,11.9,12.1,37.5,2010
Charlotte Bobcats,82,34,48,48.3,107.0,29.8,70.5,6.4,5.3,16.5,12.8,14.3,39.8,2010
Los Angeles Clippers,82,32,50,48.4,108.0,30.5,69.2,7.1,4.9,19.1,13.2,14.2,41.0,2010
Detroit Pistons,82,30,52,48.5,110.7,27.3,68.1,7.3,4.0,16.3,13.9,15.7,44.0,2010
New Jersey Nets,82,24,58,48.8,108.9,29.8,70.0,5.6,4.7,15.9,13.0,13.3,41.5,2010
