TEAM,GP,W,L,MIN,"EST. 
OFFRTG","EST. 
DEFRTG","EST. 
NETRTG","EST. 
AST RATIO","EST. 
OREB%","EST. 
DREB%","EST. 
REB%","EST. 
TOV%","EST. 
PACE",Season
Boston Celtics,66,52,14,3193,119.8,108.8,11.0,19.1,24.8,76.4,51.9,12.0,100.00,2023
Oklahoma City Thunder,67,47,20,3236,117.7,109.6,8.1,19.3,21.1,73.2,48.2,12.1,102.30,2023
Denver Nuggets,67,47,20,3221,115.4,111.4,4.0,20.8,25.6,75.5,51.2,12.6,99.10,2023
Minnesota Timberwolves,67,46,21,3241,112.8,105.9,6.9,19.1,23.4,77.1,51.8,14.3,99.80,2023
Milwaukee Bucks,67,43,24,3231,116.9,113.0,3.8,18.9,21.4,77.1,50.0,12.3,102.80,2023
LA Clippers,66,42,24,3173,117.1,112.4,4.7,18.8,24.4,74.6,50.4,13.1,99.90,2023
Cleveland Cavaliers,67,42,25,3241,113.4,108.5,4.8,19.9,23.7,77.1,50.9,13.4,99.80,2023
New Orleans Pelicans,67,41,26,3221,115.5,109.8,5.7,19.4,25.2,76.6,51.3,13.1,100.70,2023
New York Knicks,67,40,27,3216,113.2,110.5,2.6,17.4,29.6,76.6,53.1,13.6,98.20,2023
Phoenix Suns,67,39,28,3236,114.8,112.0,2.8,19.0,25.4,75.0,51.6,14.6,101.20,2023
Orlando Magic,67,39,28,3236,110.6,109.0,1.6,17.9,25.8,77.8,51.6,14.8,99.50,2023
Indiana Pacers,68,38,30,3269,117.4,115.9,1.5,20.8,23.6,74.3,48.8,12.6,104.60,2023
Dallas Mavericks,67,38,29,3216,116.0,114.4,1.6,18.3,22.3,74.1,48.3,12.1,102.70,2023
Sacramento Kings,66,38,28,3198,114.3,114.3,0.1,20.0,23.9,78.9,50.7,12.9,101.90,2023
Philadelphia 76ers,67,37,30,3226,114.0,112.2,1.8,17.8,24.9,74.0,49.0,11.8,100.40,2023
Los Angeles Lakers,68,36,32,3289,113.2,113.5,-0.3,20.2,19.6,75.7,48.9,13.2,102.90,2023
Miami Heat,66,36,30,3173,111.5,110.4,1.1,19.0,22.0,77.6,49.5,12.9,98.90,2023
Golden State Warriors,66,35,31,3198,114.4,113.2,1.1,19.8,27.6,76.1,51.9,13.9,102.40,2023
Chicago Bulls,68,33,35,3319,111.9,113.0,-1.0,18.1,24.8,76.4,50.0,12.3,98.70,2023
Houston Rockets,67,32,35,3241,110.5,110.0,0.5,17.7,24.9,76.7,50.7,12.7,101.60,2023
Atlanta Hawks,66,29,37,3188,114.7,116.9,-2.2,18.1,27.8,74.2,50.1,12.8,103.30,2023
Utah Jazz,67,29,38,3241,113.1,117.2,-4.0,19.2,28.6,75.8,52.4,15.0,102.60,2023
Brooklyn Nets,67,26,41,3231,111.2,113.6,-2.4,18.9,25.0,76.0,49.6,12.9,99.90,2023
Toronto Raptors,67,23,44,3241,111.4,114.9,-3.5,20.3,24.6,74.8,49.2,13.1,101.70,2023
Memphis Grizzlies,68,23,45,3279,104.3,111.3,-7.0,18.1,22.7,75.1,48.1,14.9,100.70,2023
Portland Trail Blazers,67,19,48,3256,106.0,114.4,-8.5,16.6,27.1,73.4,48.9,15.0,100.20,2023
Charlotte Hornets,68,17,51,3274,106.7,116.4,-9.7,18.1,21.9,74.9,47.4,13.8,99.90,2023
San Antonio Spurs,67,14,53,3226,107.8,115.4,-7.6,20.5,23.0,75.6,48.9,14.4,103.60,2023
Detroit Pistons,66,12,54,3183,108.7,116.4,-7.7,18.6,25.0,77.8,50.9,15.1,102.80,2023
Washington Wizards,67,11,56,3221,108.4,117.3,-8.9,19.7,19.9,71.8,45.1,13.2,105.20,2023
Milwaukee Bucks,82,58,24,3966,112.8,109.4,3.3,18.1,25.0,77.8,52.4,14.1,102.80,2022
Boston Celtics,82,57,25,3996,115.7,108.8,7.0,19.1,22.1,78.5,50.7,13.1,100.60,2022
Philadelphia 76ers,82,54,28,3976,115.5,110.2,5.2,18.6,21.6,77.2,49.9,13.7,99.20,2022
Denver Nuggets,82,53,29,3951,115.0,111.7,3.3,20.5,24.8,76.4,51.3,14.4,100.30,2022
Memphis Grizzlies,82,51,31,3956,112.3,108.3,4.0,18.2,26.5,75.9,51.2,13.1,103.70,2022
Cleveland Cavaliers,82,51,31,3976,113.7,107.7,6.0,18.6,23.6,76.3,49.9,13.5,98.00,2022
Sacramento Kings,82,48,34,3966,117.0,114.1,2.9,19.3,22.7,77.2,50.2,13.1,102.50,2022
New York Knicks,82,47,35,3991,114.9,111.8,3.1,16.6,28.3,77.1,52.6,12.9,99.70,2022
Phoenix Suns,82,45,37,3956,112.1,110.1,2.1,19.3,26.6,76.0,50.8,13.4,100.80,2022
Brooklyn Nets,82,45,37,3946,113.0,110.9,2.1,18.9,19.6,73.7,47.3,13.7,100.70,2022
Golden State Warriors,82,44,38,3966,113.5,111.4,2.1,20.4,24.4,76.0,50.7,15.5,104.20,2022
LA Clippers,82,44,38,3966,112.4,112.0,0.3,17.5,22.9,76.6,50.1,14.1,100.20,2022
Miami Heat,82,44,38,3961,110.4,110.6,-0.2,17.8,22.8,77.7,49.2,13.6,98.60,2022
Los Angeles Lakers,82,43,39,3976,111.8,111.5,0.3,17.9,22.8,76.3,50.5,13.4,103.60,2022
Minnesota Timberwolves,82,42,40,3966,111.3,111.1,0.2,18.6,21.5,74.3,48.4,14.7,103.40,2022
New Orleans Pelicans,82,42,40,3971,111.8,109.9,1.9,18.5,24.7,77.4,51.1,14.3,101.40,2022
Atlanta Hawks,82,41,41,3971,113.9,113.6,0.3,17.6,25.1,75.8,50.2,12.4,103.10,2022
Toronto Raptors,82,41,41,3961,112.2,111.4,0.8,17.2,27.8,76.7,50.4,11.6,99.60,2022
Oklahoma City Thunder,82,40,42,3971,112.3,111.4,0.8,17.2,24.7,72.9,48.4,12.5,103.60,2022
Chicago Bulls,82,40,42,3981,111.7,109.4,2.3,18.1,20.1,77.8,49.4,13.2,100.60,2022
Dallas Mavericks,82,38,44,3986,114.3,114.0,0.3,17.4,18.0,75.5,46.4,12.2,98.80,2022
Utah Jazz,82,37,45,3961,112.7,113.8,-1.1,18.2,26.8,75.2,51.4,14.8,103.10,2022
Indiana Pacers,82,35,47,3951,111.0,115.4,-4.4,18.9,23.4,72.2,47.8,14.2,103.80,2022
Washington Wizards,82,35,47,3951,111.5,113.3,-1.8,18.5,22.6,76.1,50.4,13.9,100.80,2022
Orlando Magic,82,34,48,3956,109.0,111.5,-2.4,17.0,23.8,77.7,50.7,14.8,101.70,2022
Portland Trail Blazers,82,33,49,3946,112.0,116.0,-4.0,17.8,22.4,74.9,48.4,14.3,101.00,2022
Charlotte Hornets,82,27,55,3966,106.7,112.6,-5.9,17.8,23.8,75.5,49.1,13.7,103.30,2022
San Antonio Spurs,82,22,60,3971,107.2,117.7,-10.5,18.7,25.6,74.9,49.3,14.5,104.10,2022
Houston Rockets,82,22,60,3951,107.7,116.9,-9.2,16.0,30.2,75.8,52.7,15.8,101.80,2022
Detroit Pistons,82,17,65,3961,107.8,116.1,-8.2,16.7,24.9,74.0,48.7,14.7,101.60,2022
Phoenix Suns,82,64,18,3946,112.5,104.7,7.8,19.5,22.3,77.1,50.5,12.7,102.00,2021
Memphis Grizzlies,82,56,26,3956,111.6,106.2,5.4,17.9,30.0,77.8,53.3,12.7,103.10,2021
Golden State Warriors,82,53,29,3946,110.5,103.9,6.5,19.5,22.8,78.7,51.6,14.8,100.70,2021
Miami Heat,82,53,29,3971,111.2,106.3,4.9,18.8,23.5,78.0,51.2,14.7,98.20,2021
Dallas Mavericks,82,52,30,3951,110.5,106.8,3.7,17.8,21.3,78.0,49.6,12.8,97.50,2021
Milwaukee Bucks,82,51,31,3951,112.5,109.4,3.1,17.3,23.0,78.6,51.4,13.1,102.20,2021
Boston Celtics,82,51,31,3981,112.1,104.0,8.1,18.2,24.0,77.3,51.3,13.7,99.00,2021
Philadelphia 76ers,82,51,31,3961,111.0,108.3,2.7,17.9,20.1,76.8,48.9,12.6,98.40,2021
Utah Jazz,82,49,33,3946,114.0,107.7,6.2,16.7,25.4,78.3,52.7,14.0,99.50,2021
Denver Nuggets,82,48,34,3961,111.7,110.3,1.4,20.0,21.9,78.3,51.0,14.4,99.90,2021
Toronto Raptors,82,48,34,3971,109.6,107.9,1.7,16.1,28.4,75.6,50.7,12.5,98.60,2021
Minnesota Timberwolves,82,46,36,3956,111.3,109.1,2.1,18.1,24.4,74.9,49.0,13.8,103.50,2021
Chicago Bulls,82,46,36,3946,111.0,111.1,-0.1,17.8,20.4,78.3,49.5,12.8,100.40,2021
Brooklyn Nets,82,44,38,3951,111.0,109.6,1.3,18.3,23.9,75.1,50.2,13.8,101.60,2021
Cleveland Cavaliers,82,44,38,3946,109.4,107.0,2.4,18.7,24.0,76.5,50.8,14.6,98.40,2021
Charlotte Hornets,82,43,39,3976,111.7,111.0,0.7,19.6,23.3,74.8,48.7,12.8,102.30,2021
Atlanta Hawks,82,43,39,3941,114.0,112.1,1.9,18.1,23.0,76.9,50.1,11.9,100.00,2021
LA Clippers,82,42,40,3956,107.7,107.5,0.2,17.7,20.6,74.4,48.3,13.6,100.20,2021
New York Knicks,82,37,45,3956,108.0,107.6,0.4,16.4,25.1,78.8,51.4,13.4,98.40,2021
New Orleans Pelicans,82,36,46,3951,109.0,110.5,-1.5,18.1,26.9,78.2,52.0,14.0,99.70,2021
Washington Wizards,82,35,47,3966,108.9,111.7,-2.8,18.5,20.9,76.9,49.4,13.2,99.30,2021
San Antonio Spurs,82,34,48,3961,109.4,110.0,-0.6,19.5,23.7,75.1,49.2,12.3,102.40,2021
Los Angeles Lakers,82,33,49,3996,107.9,110.9,-3.0,17.3,21.1,75.8,48.6,14.0,102.30,2021
Sacramento Kings,82,30,52,3961,107.2,112.9,-5.7,17.3,21.3,76.0,48.4,13.7,102.10,2021
Portland Trail Blazers,82,27,55,3946,105.5,114.0,-8.5,17.0,22.9,76.9,48.9,14.4,100.60,2021
Indiana Pacers,82,25,57,3976,109.2,113.9,-4.6,18.1,25.5,76.2,50.4,14.1,100.50,2021
Oklahoma City Thunder,82,24,58,3961,102.2,110.2,-8.0,16.4,21.8,76.1,48.5,13.8,100.80,2021
Detroit Pistons,82,23,59,3956,103.3,111.1,-7.9,17.1,23.4,75.6,48.2,14.0,100.90,2021
Orlando Magic,82,22,60,3956,101.8,110.3,-8.5,17.4,19.8,77.2,48.4,14.2,101.50,2021
Houston Rockets,82,20,62,3951,105.4,114.4,-9.0,17.1,21.7,74.4,47.9,15.8,103.30,2021
Utah Jazz,72,52,20,3471,115.1,105.7,9.4,17.3,24.5,79.3,53.1,14.0,100.80,2020
Phoenix Suns,72,51,21,3496,114.9,108.8,6.1,19.6,20.8,78.5,50.1,12.5,99.30,2020
Philadelphia 76ers,72,49,23,3486,110.8,105.1,5.7,17.2,23.2,78.2,51.2,14.1,101.80,2020
Brooklyn Nets,72,48,24,3481,116.3,110.6,5.7,19.3,21.4,77.3,50.8,13.3,101.80,2020
Denver Nuggets,72,47,25,3496,114.2,110.0,4.2,19.3,24.7,78.9,51.9,13.4,99.30,2020
LA Clippers,72,47,25,3456,115.2,108.7,6.6,18.1,22.7,79.1,51.7,13.3,99.10,2020
Milwaukee Bucks,72,46,26,3466,114.7,109.1,5.5,18.0,23.3,79.7,52.6,13.2,104.40,2020
Portland Trail Blazers,72,42,30,3461,114.9,113.4,1.5,15.9,23.0,77.5,49.5,11.0,100.80,2020
Los Angeles Lakers,72,42,30,3491,107.5,104.8,2.7,18.0,22.5,79.7,51.3,14.9,100.80,2020
Dallas Mavericks,72,42,30,3461,112.9,110.4,2.5,17.2,21.1,77.8,49.6,12.1,99.50,2020
Atlanta Hawks,72,41,31,3481,113.0,110.6,2.5,17.6,24.4,77.8,51.7,13.2,99.90,2020
New York Knicks,72,41,31,3486,108.2,105.7,2.5,16.3,21.9,78.6,50.6,13.1,98.20,2020
Miami Heat,72,40,32,3476,109.1,108.5,0.6,19.5,19.4,77.9,49.2,14.2,98.70,2020
Golden State Warriors,72,39,33,3461,108.8,107.7,1.1,19.6,17.9,76.6,47.6,14.4,104.40,2020
Memphis Grizzlies,72,38,34,3481,109.7,108.5,1.2,18.9,24.2,78.3,51.0,12.9,102.60,2020
Boston Celtics,72,36,36,3476,111.0,110.0,0.9,17.1,24.3,78.1,51.0,13.9,100.70,2020
Washington Wizards,72,34,38,3481,108.9,110.5,-1.7,17.8,21.3,77.6,49.5,13.4,106.40,2020
Indiana Pacers,72,34,38,3491,109.9,109.6,0.3,19.2,20.2,74.9,47.7,12.9,104.00,2020
San Antonio Spurs,72,33,39,3496,108.6,110.7,-2.1,17.9,20.0,77.3,48.1,11.1,101.00,2020
Charlotte Hornets,72,33,39,3471,108.1,110.6,-2.5,19.2,23.5,75.7,49.2,14.7,100.60,2020
New Orleans Pelicans,72,31,41,3486,110.8,111.6,-0.7,18.3,26.3,80.0,53.1,14.1,102.30,2020
Sacramento Kings,72,31,41,3461,111.1,114.6,-3.5,18.4,21.3,75.0,47.8,13.1,102.20,2020
Chicago Bulls,72,31,41,3476,108.7,109.9,-1.2,19.2,22.3,80.3,51.6,14.9,101.10,2020
Toronto Raptors,72,27,45,3461,109.3,109.8,-0.5,17.7,20.8,76.3,47.6,13.0,101.60,2020
Minnesota Timberwolves,72,23,49,3481,107.0,112.1,-5.2,18.0,22.7,76.8,48.7,13.6,104.10,2020
Oklahoma City Thunder,72,22,50,3471,101.3,111.9,-10.5,16.1,21.2,77.9,49.2,15.6,103.10,2020
Cleveland Cavaliers,72,22,50,3486,103.1,112.1,-8.9,17.5,23.6,76.6,49.4,15.4,99.60,2020
Orlando Magic,72,21,51,3466,102.9,112.1,-9.2,16.3,21.6,78.2,49.0,12.7,100.80,2020
Detroit Pistons,72,20,52,3486,105.4,110.3,-4.9,17.8,21.9,76.9,49.1,14.8,100.10,2020
Houston Rockets,72,17,55,3461,104.9,112.4,-7.5,17.2,19.8,77.1,47.2,14.2,103.60,2020
Milwaukee Bucks,73,56,17,3519,110.5,100.6,9.9,18.0,20.7,81.6,53.0,14.1,107.20,2019
Toronto Raptors,72,53,19,3476,109.0,102.0,7.0,18.1,21.3,76.7,49.6,14.3,103.30,2019
Los Angeles Lakers,71,52,19,3418,109.6,103.8,5.8,18.0,24.5,78.8,52.0,14.7,103.30,2019
LA Clippers,72,49,23,3476,111.1,105.3,5.7,16.9,23.5,77.6,51.3,13.9,103.90,2019
Boston Celtics,72,48,24,3486,110.4,104.5,6.0,16.7,23.9,77.4,51.0,13.4,101.90,2019
Denver Nuggets,73,46,27,3549,110.1,108.6,1.5,19.1,24.8,76.8,50.9,13.6,99.50,2019
Indiana Pacers,73,45,28,3524,107.9,105.1,2.9,18.9,20.0,76.7,48.6,13.1,101.30,2019
Houston Rockets,72,44,28,3476,110.3,107.4,2.9,15.5,21.0,75.6,48.0,13.7,106.30,2019
Oklahoma City Thunder,72,44,28,3486,108.4,106.3,2.1,16.3,19.3,76.8,48.9,13.4,101.10,2019
Utah Jazz,72,44,28,3471,110.0,107.4,2.6,16.8,21.6,78.9,51.3,14.9,100.80,2019
Miami Heat,73,44,29,3549,110.0,107.2,2.8,18.8,20.3,79.5,51.1,14.6,100.50,2019
Dallas Mavericks,75,43,32,3635,113.7,109.5,4.2,17.7,23.2,77.7,50.8,12.3,101.70,2019
Philadelphia 76ers,73,43,30,3519,109.1,106.3,2.8,18.5,23.9,80.3,52.1,14.0,101.30,2019
Brooklyn Nets,72,35,37,3496,106.0,107.1,-1.1,17.3,23.2,77.8,51.1,14.5,104.00,2019
Portland Trail Blazers,74,35,39,3567,111.1,111.8,-0.7,15.2,22.4,75.3,49.1,12.4,103.20,2019
Memphis Grizzlies,73,34,39,3514,106.9,107.5,-0.6,18.7,23.0,77.8,50.9,14.5,105.30,2019
Phoenix Suns,73,34,39,3519,109.7,108.4,1.4,19.2,22.2,78.8,50.1,14.2,103.70,2019
Orlando Magic,73,33,40,3514,106.1,107.1,-1.0,17.5,22.3,79.1,49.8,12.7,100.90,2019
San Antonio Spurs,71,32,39,3443,110.4,110.9,-0.5,17.9,20.1,79.2,49.6,12.2,102.60,2019
Sacramento Kings,72,31,41,3491,107.8,109.6,-1.8,17.4,21.9,78.4,49.5,14.2,101.20,2019
New Orleans Pelicans,72,30,42,3486,108.0,109.4,-1.4,18.4,24.2,77.8,50.9,15.3,106.30,2019
Washington Wizards,72,25,47,3471,108.2,112.7,-4.5,17.6,22.2,75.3,47.7,13.4,105.20,2019
Charlotte Hornets,65,23,42,3150,103.9,110.6,-6.8,17.7,23.9,74.4,48.2,14.7,98.10,2019
Chicago Bulls,65,22,43,3135,104.1,107.7,-3.6,16.9,22.8,75.6,47.9,15.1,101.90,2019
New York Knicks,66,21,45,3193,103.8,110.6,-6.8,16.0,25.8,78.3,51.3,14.1,100.90,2019
Atlanta Hawks,67,20,47,3256,104.3,112.3,-8.0,16.9,21.6,74.9,47.9,15.1,105.60,2019
Detroit Pistons,66,20,46,3193,106.1,110.4,-4.3,17.7,22.6,75.9,48.9,15.1,99.90,2019
Minnesota Timberwolves,64,19,45,3112,105.3,110.0,-4.7,16.7,22.1,77.2,48.6,14.2,105.90,2019
Cleveland Cavaliers,65,19,46,3145,104.4,113.6,-9.2,16.8,24.6,77.4,50.8,16.1,100.90,2019
Golden State Warriors,65,15,50,3145,102.9,110.9,-8.0,18.2,21.5,76.4,48.0,14.4,102.70,2019
Milwaukee Bucks,82,60,22,3956,111.5,103.0,8.5,18.3,20.8,80.3,52.3,13.1,105.40,2018
Toronto Raptors,82,58,24,3976,110.9,104.3,6.5,18.2,21.9,77.1,50.2,13.6,102.50,2018
Golden State Warriors,82,57,25,3961,113.9,106.5,7.5,20.4,22.5,77.1,51.0,13.8,103.20,2018
Denver Nuggets,82,54,28,3946,109.8,106.8,3.0,19.3,26.6,78.0,52.2,13.3,100.10,2018
Portland Trail Blazers,82,53,29,3971,111.4,108.1,3.3,16.6,26.6,77.9,52.8,13.5,101.60,2018
Houston Rockets,82,53,29,3966,112.5,107.9,4.6,15.9,22.8,74.4,48.1,13.2,100.40,2018
Philadelphia 76ers,82,51,31,3961,110.4,107.1,3.3,18.7,24.5,78.6,52.3,14.3,104.00,2018
Utah Jazz,82,50,32,3951,108.8,103.2,5.5,18.5,22.9,80.3,52.1,14.7,102.50,2018
Oklahoma City Thunder,82,49,33,3971,107.6,104.7,2.9,16.3,26.0,78.2,51.3,13.1,105.30,2018
Boston Celtics,82,49,33,3956,110.1,104.9,5.1,18.8,21.6,77.0,49.3,12.6,102.00,2018
LA Clippers,82,48,34,3966,109.7,109.0,0.7,17.1,22.0,76.0,49.9,13.9,104.10,2018
San Antonio Spurs,82,48,34,3961,111.1,108.3,2.8,18.1,21.0,79.4,50.5,12.0,100.40,2018
Indiana Pacers,82,48,34,3941,107.3,104.2,3.1,18.9,21.9,76.2,49.6,13.6,100.40,2018
Brooklyn Nets,82,42,40,3996,106.9,107.0,-0.1,16.9,23.8,76.4,50.2,14.4,103.40,2018
Orlando Magic,82,42,40,3956,106.5,105.8,0.8,18.6,22.0,79.7,50.4,13.1,100.30,2018
Detroit Pistons,82,41,41,3971,106.1,106.9,-0.7,16.5,24.8,78.7,50.7,13.7,99.70,2018
Sacramento Kings,82,39,43,3946,108.3,108.7,-0.4,17.7,23.1,75.5,48.6,12.7,105.50,2018
Charlotte Hornets,82,39,43,3966,108.3,110.2,-1.8,17.0,21.7,77.1,48.9,11.9,101.10,2018
Miami Heat,82,39,43,3946,104.6,105.1,-0.6,17.6,24.8,77.6,51.2,14.6,100.70,2018
Los Angeles Lakers,82,37,45,3956,105.2,107.3,-2.1,17.8,22.2,76.4,49.9,14.7,105.50,2018
Minnesota Timberwolves,82,36,46,3966,108.4,110.2,-1.9,17.4,24.6,74.9,49.5,12.6,102.80,2018
New Orleans Pelicans,82,33,49,3951,108.6,110.4,-1.8,18.6,24.1,76.8,50.8,13.9,105.60,2018
Dallas Mavericks,82,33,49,3956,106.6,108.3,-1.7,17.0,22.7,77.5,50.3,13.9,101.40,2018
Memphis Grizzlies,82,33,49,3976,103.8,106.2,-2.4,17.9,20.0,77.6,48.3,14.0,98.80,2018
Washington Wizards,82,32,50,3986,108.6,111.3,-2.7,18.4,21.3,74.1,47.3,13.4,103.70,2018
Atlanta Hawks,82,29,53,3971,105.5,111.2,-5.7,17.7,24.7,76.4,50.0,15.9,106.40,2018
Chicago Bulls,82,22,60,3981,102.5,110.9,-8.4,16.3,19.4,77.3,48.0,13.8,101.10,2018
Phoenix Suns,82,19,63,3976,103.6,112.2,-8.6,17.3,20.5,72.5,46.1,15.0,102.90,2018
Cleveland Cavaliers,82,19,63,3951,105.0,115.1,-10.1,15.6,23.7,77.0,49.2,13.6,98.90,2018
New York Knicks,82,17,65,3956,102.1,110.9,-8.8,14.9,22.1,76.1,48.5,13.7,102.00,2018
Houston Rockets,82,65,17,3951,112.2,103.8,8.5,16.4,21.3,79.9,50.8,13.8,99.70,2017
Toronto Raptors,82,59,23,3966,111.0,103.4,7.6,17.9,23.0,77.7,50.9,13.3,99.80,2017
Golden State Warriors,82,58,24,3946,112.3,104.2,8.1,20.9,21.1,76.3,50.6,15.3,101.80,2017
Boston Celtics,82,55,27,3961,105.3,101.5,3.7,17.0,21.5,78.4,50.3,14.2,98.20,2017
Philadelphia 76ers,82,52,30,3956,107.4,102.0,5.4,19.1,25.3,78.6,52.9,16.1,102.20,2017
Cleveland Cavaliers,82,50,32,3946,110.6,109.5,1.0,17.5,20.1,77.3,49.1,13.7,100.10,2017
Portland Trail Blazers,82,49,33,3951,106.1,104.2,1.9,15.0,23.3,79.1,51.4,13.6,98.80,2017
New Orleans Pelicans,82,48,34,3991,107.7,105.6,2.1,19.0,20.0,76.7,49.4,14.4,102.70,2017
Oklahoma City Thunder,82,48,34,3966,107.6,104.7,2.9,15.8,27.7,77.4,51.7,14.0,99.20,2017
Indiana Pacers,82,48,34,3951,107.2,105.6,1.6,16.8,22.7,76.2,49.6,13.5,98.20,2017
Utah Jazz,82,48,34,3951,106.2,101.6,4.6,17.1,21.5,79.8,51.0,15.0,97.80,2017
Minnesota Timberwolves,82,47,35,3961,110.8,108.4,2.4,17.0,24.4,76.4,50.1,12.6,98.30,2017
San Antonio Spurs,82,47,35,3946,105.5,102.4,3.1,17.3,23.7,78.6,51.0,13.5,97.20,2017
Denver Nuggets,82,46,36,3976,109.6,108.8,0.8,18.2,25.7,77.5,51.7,14.9,99.10,2017
Milwaukee Bucks,82,44,38,3966,107.8,107.1,0.7,17.7,20.4,75.9,48.3,14.0,98.50,2017
Miami Heat,82,44,38,3986,104.5,104.0,0.5,17.1,21.5,79.0,50.2,14.5,97.80,2017
Washington Wizards,82,43,39,3971,106.9,106.2,0.7,18.4,23.5,77.1,50.3,14.6,98.90,2017
LA Clippers,82,42,40,3941,107.7,107.7,0.0,16.5,23.5,76.1,50.1,14.5,101.10,2017
Detroit Pistons,82,39,43,3961,104.9,104.8,0.0,17.1,22.7,78.5,50.0,13.6,98.40,2017
Charlotte Hornets,82,36,46,3956,107.0,107.0,0.0,16.1,22.2,80.7,51.0,12.5,100.50,2017
Los Angeles Lakers,82,35,47,3981,104.2,105.6,-1.4,17.0,23.6,77.7,50.9,15.2,102.60,2017
New York Knicks,82,29,53,3966,104.1,108.4,-4.3,17.2,24.1,76.7,50.5,14.7,99.20,2017
Brooklyn Nets,82,28,54,3971,104.3,108.5,-4.2,17.3,21.0,77.0,48.7,14.9,101.10,2017
Chicago Bulls,82,27,55,3971,101.3,109.1,-7.8,17.3,20.6,80.6,49.4,13.8,100.30,2017
Sacramento Kings,82,27,55,3951,101.1,109.0,-7.9,16.6,21.4,77.6,48.3,14.0,97.10,2017
