TEAM,GP,W,L,MIN,"PTS
Sacramento Kings,82,24,58,48.4,17.0,15.5,15.3,45.1,18.9,12.8,17.8,46.0,2010
Washington Wizards,82,23,59,48.6,17.0,14.3,16.5,41.6,18.1,14.0,16.6,44.1,2010
Toronto Raptors,82,22,60,48.2,15.8,13.0,18.0,45.1,17.7,13.9,16.7,47.4,2010
Cleveland Cavaliers,82,19,63,48.2,14.1,13.0,14.1,40.4,15.8,13.2,14.2,42.2,2010
Minnesota Timberwolves,82,17,65,48.2,16.3,16.1,11.9,40.6,20.0,14.2,17.1,41.8,2010
Cleveland Cavaliers,82,61,21,48.2,15.4,12.8,14.0,44.0,15.6,11.7,13.2,36.8,2009
Orlando Magic,82,59,23,48.1,14.3,12.7,12.1,38.7,16.3,11.7,11.2,36.6,2009
Los Angeles Lakers,82,57,25,48.4,16.3,15.3,11.2,43.8,15.2,12.9,12.8,40.7,2009
Dallas Mavericks,82,55,27,48.5,16.4,11.7,16.0,38.0,15.0,12.9,13.4,41.7,2009
Phoenix Suns,82,54,28,48.1,14.7,13.8,16.0,45.4,17.2,16.1,15.3,43.8,2009
Atlanta Hawks,82,53,29,48.4,16.7,13.6,16.2,44.6,13.6,14.0,15.9,42.9,2009
Denver Nuggets,82,53,29,48.2,18.0,13.7,15.1,43.1,16.5,14.0,13.9,42.6,2009
Utah Jazz,82,53,29,48.2,18.4,13.2,15.3,48.6,17.1,12.1,15.0,40.0,2009
Boston Celtics,82,50,32,48.2,17.4,11.1,14.2,44.1,16.1,12.8,11.6,38.2,2009
Oklahoma City Thunder,82,50,32,48.3,17.9,13.9,15.7,43.0,16.3,14.3,12.5,44.0,2009
Portland Trail Blazers,82,50,32,48.4,16.3,13.9,9.5,36.5,14.1,12.8,11.2,40.9,2009
San Antonio Spurs,82,50,32,48.2,14.7,12.9,12.5,43.3,15.7,12.6,14.7,41.0,2009
Miami Heat,82,47,35,48.5,16.3,12.9,9.6,37.0,13.8,12.6,11.4,37.0,2009
Milwaukee Bucks,82,46,36,48.7,16.3,13.9,10.5,37.0,14.8,11.1,12.8,37.5,2009
Charlotte Bobcats,82,44,38,48.5,17.6,12.2,14.2,43.1,16.9,12.7,12.8,39.6,2009
Houston Rockets,82,42,40,48.5,16.9,14.2,14.6,44.0,16.4,13.4,14.1,45.6,2009
Chicago Bulls,82,41,41,48.5,14.3,13.4,14.2,40.5,15.5,12.9,13.3,39.7,2009
Memphis Grizzlies,82,40,42,48.5,17.1,15.9,17.6,51.3,18.8,13.2,18.0,47.7,2009
Toronto Raptors,82,40,42,48.2,15.5,12.5,14.8,42.3,15.6,13.5,17.2,42.4,2009
New Orleans Hornets,82,37,45,48.4,16.9,13.0,15.1,42.7,15.9,13.4,14.4,45.2,2009
Indiana Pacers,82,32,50,48.1,15.9,11.2,13.2,38.2,17.4,14.0,13.5,39.3,2009
Los Angeles Clippers,82,29,53,48.1,14.0,13.4,12.8,41.9,18.8,13.5,13.6,43.5,2009
New York Knicks,82,29,53,48.5,15.6,12.8,9.9,40.2,15.9,14.1,12.7,47.2,2009
Detroit Pistons,82,27,55,48.2,17.0,14.9,12.9,38.3,16.2,12.9,14.1,38.6,2009
Philadelphia 76ers,82,27,55,48.3,16.2,13.6,18.9,41.7,16.4,12.7,13.7,42.5,2009
Golden State Warriors,82,26,56,48.1,21.2,11.9,23.7,41.6,17.9,16.0,18.2,48.4,2009
Washington Wizards,82,26,56,48.4,14.9,13.7,10.8,37.8,17.1,13.5,13.8,41.6,2009
Sacramento Kings,82,25,57,48.5,16.2,14.5,15.0,44.8,16.8,13.8,15.0,45.0,2009
Minnesota Timberwolves,82,15,67,48.2,15.6,14.5,15.1,43.6,19.6,13.4,17.9,44.6,2009
New Jersey Nets,82,12,70,48.2,14.9,11.9,12.9,40.2,16.6,13.9,16.5,44.9,2009
Cleveland Cavaliers,82,66,16,48.2,17.2,12.9,11.4,35.7,14.7,12.0,12.6,37.1,2008
Los Angeles Lakers,82,65,17,48.2,18.8,15.7,12.3,47.0,15.1,13.3,11.5,41.7,2008
Boston Celtics,82,62,20,48.5,17.3,12.6,11.8,41.8,17.5,11.0,10.6,36.1,2008
Orlando Magic,82,59,23,48.1,14.4,12.7,11.5,35.9,15.0,12.5,11.2,35.7,2008
Denver Nuggets,82,54,28,48.1,18.0,13.7,16.8,44.0,16.8,14.3,11.6,39.0,2008
Portland Trail Blazers,82,54,28,48.4,15.7,15.4,9.2,38.7,14.1,12.1,10.3,38.4,2008
San Antonio Spurs,82,54,28,48.5,13.4,11.2,9.4,35.1,13.2,10.8,12.1,37.0,2008
Houston Rockets,82,53,29,48.3,13.5,13.4,8.7,40.0,15.7,11.7,11.7,38.0,2008
Dallas Mavericks,82,50,32,48.3,15.4,12.2,15.2,35.2,14.8,13.0,13.3,38.9,2008
New Orleans Hornets,82,49,33,48.2,15.0,11.3,10.4,37.9,13.9,11.7,11.2,35.8,2008
Utah Jazz,82,48,34,48.5,19.2,13.9,12.8,45.0,16.6,13.6,13.3,43.3,2008
Atlanta Hawks,82,47,35,48.1,15.5,12.7,15.6,39.8,14.0,13.3,12.5,40.8,2008
Phoenix Suns,82,46,36,48.2,16.7,12.9,17.6,52.0,18.6,15.4,13.2,39.8,2008
Miami Heat,82,43,39,48.7,17.3,12.0,9.7,37.1,14.7,13.0,11.4,39.1,2008
Chicago Bulls,82,41,41,48.6,17.1,13.9,15.0,37.9,16.9,15.4,12.7,43.2,2008
Philadelphia 76ers,82,41,41,48.2,18.1,14.5,17.6,44.5,16.3,13.3,11.1,39.8,2008
Detroit Pistons,82,39,43,48.5,13.4,13.5,9.9,34.5,13.1,11.7,10.4,37.6,2008
Indiana Pacers,82,36,46,48.4,15.2,14.0,13.3,41.5,17.0,12.6,12.5,37.8,2008
Charlotte Bobcats,82,35,47,48.6,17.2,12.3,10.1,40.1,16.6,13.4,10.6,37.6,2008
Milwaukee Bucks,82,34,48,48.2,18.6,13.6,11.6,37.9,16.6,12.9,11.9,36.2,2008
New Jersey Nets,82,34,48,48.4,15.2,11.8,11.1,37.1,15.6,13.1,13.2,38.4,2008
Toronto Raptors,82,33,49,48.3,15.1,11.9,9.4,34.4,15.6,13.4,11.5,40.6,2008
New York Knicks,82,32,50,48.3,17.0,13.4,10.7,41.9,16.7,13.7,12.9,45.7,2008
Golden State Warriors,82,29,53,48.5,16.6,13.9,18.4,43.1,18.0,17.1,16.8,48.6,2008
Memphis Grizzlies,82,24,58,48.3,16.5,11.4,11.9,41.1,16.1,12.7,12.3,41.7,2008
Minnesota Timberwolves,82,24,58,48.3,14.2,14.6,10.0,40.9,16.5,12.1,13.0,39.8,2008
Oklahoma City Thunder,82,23,59,48.3,15.3,13.9,14.5,42.3,19.0,13.0,14.0,44.7,2008
Los Angeles Clippers,82,19,63,48.5,14.1,12.7,10.6,40.9,16.8,14.6,11.9,44.5,2008
Washington Wizards,82,19,63,48.1,15.3,13.6,10.6,41.4,17.4,13.2,13.7,40.0,2008
Sacramento Kings,82,17,65,48.5,15.8,12.0,12.1,37.6,18.7,13.9,14.3,45.6,2008
Boston Celtics,82,66,16,48.2,18.9,12.9,11.0,38.9,16.2,12.5,9.1,34.1,2007
Detroit Pistons,82,59,23,48.1,15.5,14.4,11.5,32.3,11.8,11.4,9.6,35.2,2007
Los Angeles Lakers,82,57,25,48.2,17.1,13.2,12.4,43.8,15.8,14.3,11.9,41.2,2007
New Orleans Hornets,82,56,26,48.3,16.7,13.2,13.6,40.2,12.5,11.3,11.3,38.2,2007
San Antonio Spurs,82,56,26,48.1,14.4,11.1,9.5,36.1,14.0,10.5,11.5,35.5,2007
Houston Rockets,82,55,27,48.1,14.9,14.7,8.2,39.9,14.4,12.7,12.9,35.8,2007
Phoenix Suns,82,55,27,48.2,15.9,10.8,17.3,44.4,16.1,15.4,12.2,44.8,2007
Utah Jazz,82,54,28,48.1,18.7,14.4,11.3,47.3,16.2,12.8,13.6,39.7,2007
Orlando Magic,82,52,30,48.2,15.3,12.2,12.5,41.8,16.1,12.7,12.5,37.4,2007
Dallas Mavericks,82,51,31,48.1,14.5,12.2,14.5,35.5,13.9,12.9,12.8,39.2,2007
Denver Nuggets,82,50,32,48.4,18.1,13.8,19.0,46.6,17.0,14.6,14.2,43.0,2007
Golden State Warriors,82,48,34,48.2,20.0,14.7,23.0,48.6,15.6,15.7,14.3,45.0,2007
Cleveland Cavaliers,82,45,37,48.4,14.0,15.2,11.8,38.1,15.8,11.3,12.4,37.5,2007
Washington Wizards,82,43,39,48.5,15.6,15.2,10.3,39.1,15.0,13.1,12.9,37.6,2007
Portland Trail Blazers,82,41,41,48.5,14.1,13.0,7.9,31.0,14.5,13.5,12.5,40.5,2007
Toronto Raptors,82,41,41,48.4,16.6,11.2,8.0,34.3,13.6,11.7,10.6,37.6,2007
Philadelphia 76ers,82,40,42,48.2,18.1,13.8,18.2,45.0,15.0,13.1,10.0,40.9,2007
Sacramento Kings,82,38,44,48.4,17.7,11.4,12.8,40.6,18.4,13.6,13.1,41.4,2007
Atlanta Hawks,82,37,45,48.4,15.8,14.0,16.8,43.0,17.2,14.2,13.3,43.5,2007
Indiana Pacers,82,36,46,48.2,17.0,13.5,13.3,37.0,17.2,13.2,12.0,37.0,2007
New Jersey Nets,82,34,48,48.4,14.5,12.2,13.1,36.7,16.7,13.4,12.7,37.4,2007
Chicago Bulls,82,33,49,48.3,16.1,14.4,11.1,35.7,16.4,12.7,12.9,35.6,2007
Charlotte Bobcats,82,32,50,48.5,16.0,13.0,12.2,40.3,16.8,15.0,13.5,43.9,2007
Milwaukee Bucks,82,26,56,48.4,14.7,14.1,10.2,41.5,17.2,13.0,14.2,41.6,2007
Los Angeles Clippers,82,23,59,48.3,15.0,11.2,8.7,34.7,15.7,13.2,10.4,43.5,2007
New York Knicks,82,23,59,48.5,13.7,14.7,9.3,41.9,17.3,13.5,12.5,41.0,2007
Memphis Grizzlies,82,22,60,48.3,15.3,11.9,15.0,44.0,18.0,13.0,16.2,45.8,2007
Minnesota Timberwolves,82,22,60,48.1,14.2,15.0,8.8,43.2,17.8,13.0,14.5,38.9,2007
Seattle SuperSonics,82,20,62,48.4,13.6,13.3,15.8,41.1,18.3,13.9,14.1,44.2,2007
Miami Heat,82,15,67,48.4,15.2,10.2,9.7,33.3,17.0,13.9,13.5,38.8,2007
Dallas Mavericks,82,67,15,48.2,17.0,13.2,13.4,35.3,15.2,11.4,12.7,36.9,2006
Phoenix Suns,82,61,21,48.5,17.5,11.5,17.0,43.8,16.2,15.3,10.5,42.3,2006
San Antonio Spurs,82,58,24,48.2,16.8,12.0,11.6,39.9,15.3,12.4,10.8,38.9,2006
Detroit Pistons,82,53,29,48.5,16.8,14.0,10.6,35.3,13.2,13.3,11.2,37.2,2006
Houston Rockets,82,52,30,48.4,15.2,12.7,7.4,35.3,14.8,11.6,9.6,33.0,2006
Utah Jazz,82,51,31,48.3,16.3,15.0,9.4,43.1,17.5,11.1,12.2,38.2,2006
Cleveland Cavaliers,82,50,32,48.5,16.6,15.1,12.2,40.3,14.7,12.3,10.7,38.1,2006
Chicago Bulls,82,49,33,48.2,19.1,13.3,12.3,35.7,17.2,11.9,10.7,35.1,2006
Toronto Raptors,82,47,35,48.2,16.8,10.6,12.6,35.3,15.1,12.6,11.7,40.0,2006
Denver Nuggets,82,45,37,48.2,19.3,13.6,18.6,46.7,18.6,14.3,14.6,44.8,2006
Miami Heat,82,44,38,48.4,15.5,11.8,10.8,40.6,16.4,13.3,12.8,36.1,2006
Golden State Warriors,82,42,40,48.2,21.3,12.8,20.4,46.8,18.3,16.0,13.4,43.9,2006
Los Angeles Lakers,82,42,40,48.9,17.0,13.1,9.6,42.1,18.2,14.1,12.2,43.7,2006
New Jersey Nets,82,41,41,48.5,16.7,11.1,13.3,36.6,16.6,12.5,11.1,35.6,2006
Washington Wizards,82,41,41,48.4,19.0,14.0,15.3,38.9,16.1,14.4,13.3,41.6,2006
Los Angeles Clippers,82,40,42,48.1,15.4,13.0,7.9,36.9,16.5,12.1,9.0,40.0,2006
Orlando Magic,82,40,42,48.2,17.0,13.5,14.0,43.1,18.0,11.6,13.0,34.0,2006
New Orleans/Oklahoma City Hornets,82,39,43,48.5,15.1,14.9,12.3,41.8,16.1,13.0,11.9,37.8,2006
Indiana Pacers,82,35,47,48.2,17.1,12.7,11.7,36.7,18.5,13.2,12.6,38.7,2006
Philadelphia 76ers,82,35,47,48.5,16.9,12.8,14.0,39.9,17.2,14.3,11.9,41.2,2006
Charlotte Bobcats,82,33,49,48.8,16.6,13.6,9.6,39.1,16.9,12.9,13.1,42.0,2006
New York Knicks,82,33,49,48.8,15.0,15.0,9.3,45.2,18.4,13.2,10.1,38.1,2006
Sacramento Kings,82,33,49,48.3,18.6,11.7,11.6,38.5,15.5,12.8,12.5,41.9,2006
Minnesota Timberwolves,82,32,50,48.8,15.3,11.9,9.0,35.0,17.5,13.8,11.8,40.4,2006
Portland Trail Blazers,82,32,50,48.7,15.2,14.0,6.3,38.1,18.3,12.6,13.9,41.2,2006
Seattle SuperSonics,82,31,51,48.4,16.6,14.0,11.8,42.6,17.7,14.7,12.6,43.6,2006
Atlanta Hawks,82,30,52,48.5,16.3,14.0,11.8,38.7,18.1,13.7,13.3,43.0,2006
Milwaukee Bucks,82,28,54,48.4,17.6,13.7,13.0,45.3,17.5,14.2,12.9,43.5,2006
Boston Celtics,82,24,58,48.4,17.4,13.1,12.0,39.0,18.2,12.0,12.4,41.7,2006
Memphis Grizzlies,82,22,60,48.7,16.8,12.8,14.3,42.5,19.8,14.2,14.6,45.4,2006
Detroit Pistons,82,64,18,48.4,15.7,13.5,12.0,32.2,13.5,12.6,11.4,40.1,2005
San Antonio Spurs,82,63,19,48.3,15.5,12.5,9.5,42.1,13.1,11.8,11.0,39.1,2005
Dallas Mavericks,82,60,22,48.5,16.0,14.0,13.7,37.7,14.0,12.8,12.3,35.9,2005
Phoenix Suns,82,54,28,48.7,17.0,11.0,16.0,37.4,14.9,14.6,11.2,41.4,2005
Miami Heat,82,52,30,48.2,15.3,13.5,12.8,46.4,16.4,11.9,12.4,35.3,2005
Cleveland Cavaliers,82,50,32,48.4,15.1,12.7,12.6,41.1,15.6,11.9,10.8,37.2,2005
Memphis Grizzlies,82,49,33,48.4,16.0,12.5,9.0,37.5,14.8,12.6,12.3,36.3,2005
New Jersey Nets,82,49,33,48.2,16.2,11.3,12.9,33.4,14.7,10.7,11.3,34.4,2005
Los Angeles Clippers,82,47,35,48.3,13.4,12.4,9.0,39.8,15.7,12.5,9.8,39.0,2005
Los Angeles Lakers,82,45,37,48.4,16.9,13.9,9.9,39.3,14.0,13.2,10.1,39.1,2005
Denver Nuggets,82,44,38,48.6,18.0,12.4,20.2,42.9,16.7,14.2,14.2,41.1,2005
Sacramento Kings,82,44,38,48.4,16.8,12.6,10.8,36.5,16.5,12.8,12.1,39.9,2005
Washington Wizards,82,42,40,48.4,18.6,14.9,15.4,39.9,15.9,13.1,12.5,40.4,2005
Chicago Bulls,82,41,41,48.5,16.3,13.1,9.6,35.2,16.3,13.1,10.6,32.2,2005
Indiana Pacers,82,41,41,48.1,13.9,12.7,8.6,35.3,16.2,13.1,11.1,37.9,2005
Utah Jazz,82,41,41,48.5,15.0,14.7,10.1,37.6,17.6,12.5,12.6,34.6,2005
Milwaukee Bucks,82,40,42,48.4,16.8,13.4,13.3,40.4,16.7,12.2,12.1,39.7,2005
New Orleans/Oklahoma City Hornets,82,38,44,48.3,16.1,13.3,12.0,37.8,14.3,12.4,12.0,36.3,2005
Philadelphia 76ers,82,38,44,48.5,17.3,12.5,12.1,42.2,15.9,14.0,13.4,41.4,2005
Orlando Magic,82,36,46,48.5,15.2,13.2,11.4,40.4,17.1,13.1,12.3,36.8,2005
Seattle SuperSonics,82,35,47,48.4,16.2,15.0,14.9,39.8,17.6,15.3,13.3,42.8,2005
Golden State Warriors,82,34,48,48.4,15.6,12.9,14.0,38.8,16.1,13.7,13.3,40.8,2005
Houston Rockets,82,34,48,48.4,14.6,12.8,7.9,33.9,15.2,11.6,10.2,30.0,2005
Boston Celtics,82,33,49,48.5,15.4,12.0,12.1,39.6,18.9,13.2,10.9,39.7,2005
Minnesota Timberwolves,82,33,49,48.4,15.3,11.4,10.8,34.9,15.5,14.5,10.2,39.6,2005
Toronto Raptors,82,27,55,48.7,16.2,13.0,10.9,35.5,15.0,12.9,12.4,43.0,2005
Atlanta Hawks,82,26,56,48.5,16.6,14.6,11.1,40.6,18.1,15.2,12.0,44.4,2005
Charlotte Bobcats,82,26,56,48.5,19.3,13.4,13.1,39.3,15.5,13.6,11.4,43.4,2005
New York Knicks,82,23,59,48.6,15.1,14.6,7.7,43.3,20.0,12.9,11.7,37.0,2005
Portland Trail Blazers,82,21,61,48.1,13.3,12.5,9.5,36.9,17.3,14.0,12.4,38.9,2005
Phoenix Suns,82,62,20,48.2,16.4,14.1,18.5,43.2,15.9,17.4,12.0,43.2,2004
Miami Heat,82,59,23,48.7,14.9,12.6,11.6,43.5,14.9,12.9,11.6,34.1,2004
San Antonio Spurs,82,59,23,48.3,16.2,12.8,12.8,42.2,14.6,12.3,10.9,37.2,2004
Dallas Mavericks,82,58,24,48.1,18.1,13.6,14.7,38.6,15.0,14.6,13.7,39.8,2004
Detroit Pistons,82,54,28,48.7,15.6,14.1,12.6,36.4,14.5,12.1,12.3,35.0,2004
Seattle SuperSonics,82,52,30,48.2,15.7,15.7,9.8,36.9,15.4,13.6,12.1,39.8,2004
Houston Rockets,82,51,31,48.4,14.9,13.5,9.5,32.6,15.1,11.5,10.1,30.9,2004
Sacramento Kings,82,50,32,48.4,16.7,14.6,12.0,36.7,15.2,15.0,12.9,42.9,2004
Denver Nuggets,82,49,33,48.2,18.4,13.5,19.3,43.5,16.0,14.0,13.0,39.2,2004
Chicago Bulls,82,47,35,48.4,16.8,14.1,9.9,36.9,17.2,12.6,10.3,33.3,2004
Boston Celtics,82,45,37,48.5,17.7,12.5,14.8,43.5,17.7,15.0,12.4,39.5,2004
Memphis Grizzlies,82,45,37,48.1,17.8,12.1,11.2,40.2,15.7,14.1,12.4,34.4,2004
Washington Wizards,82,45,37,48.2,19.0,16.2,15.6,40.4,15.8,14.8,12.2,40.7,2004
Indiana Pacers,82,44,38,48.5,14.9,12.6,8.0,32.1,14.4,12.5,10.9,35.3,2004
Minnesota Timberwolves,82,44,38,48.2,13.0,13.0,11.1,33.1,15.2,13.7,11.6,38.6,2004
Philadelphia 76ers,82,43,39,48.4,17.9,11.7,14.9,39.9,17.4,13.4,10.1,35.0,2004
Cleveland Cavaliers,82,42,40,48.4,17.7,15.1,12.7,42.1,15.3,13.2,12.6,37.9,2004
New Jersey Nets,82,42,40,48.5,17.6,12.1,10.7,31.1,14.8,12.6,11.2,32.0,2004
Los Angeles Clippers,82,37,45,48.9,15.0,13.8,8.6,39.9,17.5,12.9,10.0,39.3,2004
Orlando Magic,82,36,46,48.1,16.7,13.8,18.1,39.7,17.9,14.1,14.7,40.9,2004
Golden State Warriors,82,34,48,48.5,16.3,14.0,13.7,37.5,15.7,15.0,13.0,43.0,2004
Los Angeles Lakers,82,34,48,48.2,13.4,13.8,11.9,38.7,16.9,14.7,13.0,39.8,2004
New York Knicks,82,33,49,48.5,15.8,14.7,9.2,37.4,16.6,13.5,12.4,40.0,2004
Toronto Raptors,82,33,49,48.3,15.4,11.6,11.6,34.1,15.3,13.8,11.7,41.9,2004
Milwaukee Bucks,82,30,52,48.2,14.6,14.2,10.3,38.9,16.2,13.6,15.0,41.9,2004
Portland Trail Blazers,82,27,55,48.1,14.7,13.6,13.4,42.3,17.7,15.8,14.3,41.6,2004
Utah Jazz,82,26,56,48.2,15.4,14.3,9.9,37.2,17.8,12.1,13.4,35.6,2004
Charlotte Bobcats,82,18,64,48.5,16.6,15.7,10.5,36.9,16.6,13.1,14.0,40.8,2004
New Orleans Hornets,82,18,64,48.6,14.4,13.6,10.1,32.6,17.5,13.6,11.7,36.7,2004
Atlanta Hawks,82,13,69,48.4,16.2,14.3,11.7,43.6,18.5,13.6,13.1,41.4,2004
Indiana Pacers,82,61,21,48.3,17.1,13.5,10.8,35.3,14.9,11.4,11.7,35.6,2003
Minnesota Timberwolves,82,58,24,48.2,14.8,12.4,10.9,32.5,13.1,13.1,11.0,35.3,2003
San Antonio Spurs,82,57,25,48.2,16.3,14.1,9.3,39.4,14.5,11.9,10.6,36.4,2003
Los Angeles Lakers,82,56,26,48.4,16.6,13.9,11.3,44.0,14.5,13.1,11.0,37.7,2003
Sacramento Kings,82,55,27,48.2,17.0,12.7,12.2,36.8,15.1,14.1,13.2,42.6,2003
Detroit Pistons,82,54,28,48.2,16.6,12.4,12.3,38.7,14.6,12.7,10.3,33.7,2003
Dallas Mavericks,82,52,30,48.3,17.2,15.9,17.5,45.4,13.9,13.2,14.4,44.0,2003
Memphis Grizzlies,82,50,32,48.5,19.3,14.1,16.4,44.7,15.5,15.0,13.1,41.4,2003
New Jersey Nets,82,47,35,48.1,16.8,11.2,15.6,38.7,15.5,11.4,11.0,33.1,2003
Houston Rockets,82,45,37,48.6,14.4,11.7,7.8,32.9,17.1,12.4,10.3,30.3,2003
Denver Nuggets,82,43,39,48.1,18.3,13.3,19.9,42.0,16.4,14.2,14.0,42.9,2003
Miami Heat,82,42,40,48.2,15.9,13.1,12.5,35.2,15.2,12.2,9.9,33.5,2003
Utah Jazz,82,42,40,48.2,16.5,14.2,11.8,35.9,17.0,11.7,11.5,32.2,2003
Milwaukee Bucks,82,41,41,48.2,14.9,13.1,12.6,41.0,14.8,13.4,13.2,40.6,2003
New Orleans Hornets,82,41,41,48.4,17.0,14.6,12.9,34.5,16.1,13.1,11.5,37.4,2003
Portland Trail Blazers,82,41,41,48.7,14.8,14.4,10.6,39.8,16.5,13.8,12.2,38.9,2003
New York Knicks,82,39,43,48.5,14.0,12.3,8.8,34.5,17.0,12.6,10.7,34.7,2003
Golden State Warriors,82,37,45,48.4,15.4,13.5,8.6,40.5,15.3,13.4,12.2,38.7,2003
Seattle SuperSonics,82,37,45,48.3,16.7,12.7,13.1,36.1,17.2,15.2,13.5,39.0,2003
Boston Celtics,82,36,46,48.1,18.4,12.2,11.9,35.1,17.6,14.7,12.1,35.5,2003
Cleveland Cavaliers,82,35,47,48.4,14.6,15.7,12.9,41.9,15.7,13.4,13.1,38.1,2003
Philadelphia 76ers,82,33,49,48.4,15.3,12.1,13.4,35.8,16.8,13.3,11.9,36.6,2003
Toronto Raptors,82,33,49,48.7,15.2,11.3,9.3,30.3,14.5,13.9,11.3,37.7,2003
