TEAM,GP,W,L,MIN,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT- MR","%PTS
3PT","%PTS
FBPS","%PTS
FT","%PTS
OFFTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST",Season
Boston Celtics,66,52,14,48.4,53.0,47.0,45.3,6.2,40.7,12.7,14.0,12.7,39.1,50.2,49.8,77.9,22.1,60.6,39.4,2023
Denver Nuggets,67,47,20,48.1,65.0,35.0,56.8,10.2,30.0,12.2,13.2,13.5,46.7,59.5,40.5,86.1,13.9,66.4,33.6,2023
Oklahoma City Thunder,67,47,20,48.3,61.8,38.2,51.8,8.3,33.5,12.7,14.7,16.7,43.5,47.6,52.4,89.1,10.9,60.1,39.9,2023
Minnesota Timberwolves,67,46,21,48.4,62.1,37.9,50.9,5.6,33.1,10.9,16.1,14.6,45.3,54.2,45.8,86.4,13.6,63.9,36.1,2023
Milwaukee Bucks,67,43,24,48.2,56.9,43.1,48.3,8.5,35.5,10.7,16.2,11.9,39.8,49.8,50.2,83.9,16.1,61.0,39.0,2023
Cleveland Cavaliers,67,42,25,48.4,57.5,42.5,50.0,5.6,36.1,13.7,13.9,14.5,44.4,57.2,42.8,84.2,15.8,66.0,34.0,2023
LA Clippers,66,42,24,48.1,61.4,38.6,50.9,7.8,33.4,12.4,15.7,14.2,43.1,54.5,45.5,73.7,26.3,60.4,39.6,2023
New Orleans Pelicans,67,41,26,48.1,63.2,36.8,52.7,7.9,31.9,12.8,15.4,15.2,44.8,52.7,47.3,89.5,10.5,63.3,36.7,2023
New York Knicks,67,40,27,48.0,59.5,40.5,49.7,6.2,34.8,13.2,15.5,14.6,43.4,46.5,53.5,83.3,16.7,58.3,41.7,2023
Orlando Magic,67,39,28,48.3,63.6,36.4,53.3,6.4,29.6,11.4,17.1,16.6,46.8,50.5,49.5,87.9,12.1,60.6,39.4,2023
Phoenix Suns,67,39,28,48.3,63.0,37.0,52.3,11.4,30.8,11.5,17.0,13.3,40.9,53.3,46.7,86.0,14.0,62.5,37.5,2023
Dallas Mavericks,67,38,29,48.0,55.8,44.2,48.1,8.3,37.1,13.0,14.8,13.8,39.8,50.7,49.3,74.6,25.4,58.8,41.2,2023
Indiana Pacers,68,38,30,48.1,61.8,38.2,54.4,7.6,32.2,13.2,13.4,14.6,46.8,57.5,42.5,85.2,14.8,65.4,34.6,2023
Sacramento Kings,66,38,28,48.5,57.2,42.8,50.4,5.8,36.5,11.6,13.1,13.5,44.6,54.0,46.0,88.1,11.9,65.1,34.9,2023
Philadelphia 76ers,67,37,30,48.1,63.7,36.3,52.1,7.7,30.2,13.6,17.8,15.1,44.4,50.2,49.8,82.6,17.4,59.2,40.8,2023
Los Angeles Lakers,68,36,32,48.4,64.8,35.2,54.6,7.1,29.7,14.3,15.7,13.7,47.6,59.4,40.6,81.7,18.3,65.3,34.7,2023
Miami Heat,66,36,30,48.1,61.5,38.5,50.0,6.9,33.3,11.4,16.7,14.6,43.2,53.6,46.4,89.8,10.2,64.7,35.3,2023
Golden State Warriors,66,35,31,48.5,57.3,42.7,48.6,7.6,37.5,10.2,13.9,13.5,41.0,59.6,40.4,80.3,19.7,66.7,33.3,2023
Chicago Bulls,68,33,35,48.8,63.5,36.5,53.6,11.5,31.3,10.9,15.1,15.2,42.2,48.5,51.5,87.7,12.3,59.5,40.5,2023
Houston Rockets,67,32,35,48.4,61.4,38.6,51.7,7.2,32.3,13.6,15.9,14.2,44.5,51.5,48.5,79.2,20.8,59.6,40.4,2023
Atlanta Hawks,66,29,37,48.3,59.6,40.4,49.4,6.8,34.2,11.4,16.4,14.5,42.6,52.6,47.4,77.6,22.4,60.5,39.5,2023
Utah Jazz,67,29,38,48.4,59.3,40.7,50.1,4.1,33.8,12.1,16.1,12.8,46.0,55.6,44.4,87.9,12.1,65.6,34.4,2023
Brooklyn Nets,67,26,41,48.2,58.5,41.5,49.1,6.4,36.8,12.3,14.1,13.5,42.7,53.5,46.5,85.4,14.6,64.1,35.9,2023
Memphis Grizzlies,68,23,45,48.2,56.1,43.9,47.0,4.3,37.8,11.1,15.2,16.3,42.8,53.0,47.0,88.1,11.9,65.2,34.8,2023
Toronto Raptors,67,23,44,48.4,62.9,37.1,54.5,6.7,31.3,16.9,14.2,14.3,47.8,59.5,40.5,90.7,9.3,68.1,31.9,2023
Portland Trail Blazers,67,19,48,48.6,62.8,37.2,51.5,8.5,32.7,12.0,15.8,15.1,43.0,46.9,53.1,84.5,15.5,58.1,41.9,2023
Charlotte Hornets,68,17,51,48.1,61.9,38.1,53.1,7.7,33.2,11.9,13.6,14.5,45.5,51.7,48.3,83.5,16.5,61.0,39.0,2023
San Antonio Spurs,67,14,53,48.1,60.4,39.6,52.3,6.6,33.7,13.4,14.0,14.0,45.7,62.1,37.9,91.4,8.6,70.9,29.1,2023
Detroit Pistons,66,12,54,48.2,64.3,35.7,54.4,8.5,30.1,13.0,15.5,12.8,45.9,55.0,45.0,85.1,14.9,63.1,36.9,2023
Washington Wizards,67,11,56,48.1,61.6,38.4,54.0,5.8,32.3,15.7,13.7,15.7,48.2,57.9,42.1,84.8,15.2,65.6,34.4,2023
Milwaukee Bucks,82,58,24,48.4,55.4,44.6,47.7,8.4,38.1,11.2,14.2,11.7,39.3,48.9,51.1,81.9,18.1,60.4,39.6,2022
Boston Celtics,82,57,25,48.7,52.0,48.0,44.4,5.0,40.8,11.8,14.8,13.5,39.3,51.3,48.7,82.5,17.5,63.2,36.8,2022
Philadelphia 76ers,82,54,28,48.5,61.1,38.9,48.9,7.4,32.9,12.8,18.2,15.3,41.5,52.5,47.5,82.0,18.0,61.6,38.4,2022
Denver Nuggets,82,53,29,48.2,63.9,36.1,54.9,7.3,30.6,14.0,14.5,13.7,47.5,60.4,39.6,81.9,18.1,66.3,33.7,2022
Cleveland Cavaliers,82,51,31,48.5,62.9,37.1,53.4,6.4,31.0,11.3,15.6,17.3,47.0,55.1,44.9,72.6,27.4,60.0,40.0,2022
Memphis Grizzlies,82,51,31,48.2,62.8,37.2,54.2,4.3,30.8,15.4,14.9,15.1,49.9,50.4,49.6,83.7,16.3,59.6,40.4,2022
Sacramento Kings,82,48,34,48.4,57.7,42.3,49.4,6.1,34.2,12.4,16.4,14.5,43.3,50.5,49.5,88.8,11.2,62.6,37.4,2022
New York Knicks,82,47,35,48.7,60.0,40.0,50.6,5.7,32.7,11.0,16.7,13.5,44.9,42.8,57.2,82.0,18.0,54.6,45.4,2022
Brooklyn Nets,82,45,37,48.1,60.3,39.7,50.6,11.7,33.8,13.0,15.6,14.5,38.8,52.5,47.5,82.0,18.0,61.6,38.4,2022
Phoenix Suns,82,45,37,48.2,63.8,36.2,52.6,12.1,32.2,9.3,15.2,15.1,40.5,56.2,43.8,85.6,14.4,64.7,35.3,2022
Golden State Warriors,82,44,38,48.4,52.1,47.9,44.6,6.9,41.9,12.2,13.5,14.8,37.7,60.6,39.4,82.8,17.2,69.1,30.9,2022
LA Clippers,82,44,38,48.4,61.3,38.7,50.0,9.9,33.5,11.4,16.5,14.1,40.1,46.7,53.3,83.8,16.2,58.1,41.9,2022
Miami Heat,82,44,38,48.3,59.2,40.8,49.8,7.4,32.8,10.5,17.5,16.6,42.4,51.7,48.3,81.6,18.4,60.8,39.2,2022
Los Angeles Lakers,82,43,39,48.5,64.9,35.1,54.8,8.2,27.6,14.3,17.6,12.0,46.5,50.2,49.8,84.9,15.1,58.9,41.1,2022
Minnesota Timberwolves,82,42,40,48.4,61.9,38.1,53.0,6.2,31.5,12.7,15.5,15.5,46.9,53.9,46.1,79.0,21.0,61.0,39.0,2022
New Orleans Pelicans,82,42,40,48.4,65.6,34.4,54.3,7.7,28.8,12.9,16.9,15.9,46.7,51.7,48.3,89.4,10.6,61.6,38.4,2022
Atlanta Hawks,82,41,41,48.4,66.9,33.1,57.2,11.3,27.2,11.3,15.6,14.4,45.8,49.5,50.5,76.5,23.5,56.0,44.0,2022
Toronto Raptors,82,41,41,48.3,64.9,35.1,55.2,8.3,28.5,15.8,16.3,18.6,46.9,48.2,51.8,83.0,17.0,57.1,42.9,2022
Chicago Bulls,82,40,42,48.5,66.7,33.3,56.8,14.0,27.6,12.3,15.6,16.2,42.8,47.4,52.6,88.6,11.4,57.5,42.5,2022
Oklahoma City Thunder,82,40,42,48.4,63.1,36.9,52.7,5.7,31.0,12.4,16.3,17.6,47.0,44.4,55.6,87.9,12.1,56.7,43.3,2022
Dallas Mavericks,82,38,44,48.6,51.3,48.7,43.5,6.0,39.9,9.7,16.6,14.0,37.5,44.8,55.2,77.6,22.4,57.3,42.7,2022
Utah Jazz,82,37,45,48.3,57.9,42.1,49.8,4.4,34.2,10.2,16.0,13.0,45.4,50.0,50.0,85.4,14.6,61.1,38.9,2022
Indiana Pacers,82,35,47,48.2,58.7,41.3,48.9,6.3,35.0,15.5,16.1,14.8,42.6,55.4,44.6,82.7,17.3,64.3,35.7,2022
Washington Wizards,82,35,47,48.2,63.5,36.5,54.6,9.3,29.9,10.5,15.5,13.1,45.3,50.8,49.2,86.2,13.8,60.3,39.7,2022
Orlando Magic,82,34,48,48.2,63.9,36.1,53.4,8.5,29.0,11.5,17.6,15.7,44.9,47.0,53.0,85.8,14.2,57.4,42.6,2022
Portland Trail Blazers,82,33,49,48.1,58.7,41.3,48.6,6.6,34.1,12.5,17.3,14.4,42.1,50.9,49.1,78.6,21.4,59.7,40.3,2022
Charlotte Hornets,82,27,55,48.4,64.0,36.0,55.0,7.2,29.1,13.8,15.9,15.6,47.8,53.6,46.4,81.7,18.3,60.9,39.1,2022
Houston Rockets,82,22,60,48.2,64.1,35.9,54.5,4.9,28.3,11.7,17.3,14.1,49.5,47.7,52.3,76.6,23.4,55.1,44.9,2022
San Antonio Spurs,82,22,60,48.4,65.2,34.8,56.6,7.4,29.5,11.9,13.9,13.9,49.2,53.0,47.0,92.4,7.6,63.2,36.8,2022
Detroit Pistons,82,17,65,48.3,62.8,37.2,51.1,8.9,31.0,10.6,17.9,14.5,42.2,47.5,52.5,84.3,15.7,58.1,41.9,2022
Phoenix Suns,82,64,18,48.1,64.6,35.4,55.9,12.5,30.3,10.9,13.8,15.7,43.3,55.2,44.8,83.2,16.8,62.7,37.3,2021
Memphis Grizzlies,82,56,26,48.2,65.4,34.6,55.4,5.6,29.9,15.3,14.7,15.8,49.8,50.4,49.6,85.4,14.6,59.7,40.3,2021
Golden State Warriors,82,53,29,48.1,54.4,45.6,47.2,6.9,38.8,12.4,14.1,15.9,40.2,59.5,40.5,80.4,19.6,66.9,33.1,2021
Miami Heat,82,53,29,48.4,57.8,42.2,47.3,8.2,37.0,9.9,15.7,15.7,39.1,53.7,46.3,84.9,15.1,64.4,35.6,2021
Dallas Mavericks,82,52,30,48.2,56.1,43.9,48.5,8.8,36.3,9.3,15.1,13.8,39.7,50.2,49.8,78.3,21.7,59.5,40.5,2021
Boston Celtics,82,51,31,48.5,57.5,42.5,49.2,7.6,35.5,9.9,15.2,14.6,41.6,51.2,48.8,81.3,18.7,60.9,39.1,2021
Milwaukee Bucks,82,51,31,48.2,57.0,43.0,48.1,9.1,36.5,11.4,15.4,13.0,38.9,46.1,53.9,78.9,21.1,57.2,42.8,2021
Philadelphia 76ers,82,51,31,48.3,62.4,37.6,50.6,9.7,31.6,11.1,17.8,14.3,40.9,50.5,49.5,83.5,16.5,60.2,39.8,2021
Utah Jazz,82,49,33,48.1,53.2,46.8,45.8,3.7,38.4,8.9,15.8,13.0,42.1,45.4,54.6,72.7,27.3,55.2,44.8,2021
Denver Nuggets,82,48,34,48.3,58.4,41.6,51.4,7.7,33.7,12.0,14.8,13.8,43.7,58.4,41.6,85.7,14.3,66.7,33.3,2021
Toronto Raptors,82,48,34,48.4,62.5,37.5,52.5,9.4,32.7,14.5,14.8,17.3,43.1,43.4,56.6,80.4,19.6,54.3,45.7,2021
Chicago Bulls,82,46,36,48.1,66.8,33.2,55.7,14.7,28.6,11.4,15.7,14.7,41.0,47.6,52.4,85.2,14.8,57.2,42.8,2021
Minnesota Timberwolves,82,46,36,48.2,54.6,45.4,46.3,5.2,38.2,13.1,15.5,17.1,41.1,51.9,48.1,79.7,20.3,61.7,38.3,2021
Brooklyn Nets,82,44,38,48.2,64.1,35.9,54.1,13.4,30.5,12.2,15.5,13.9,40.7,54.1,45.9,76.4,23.6,60.2,39.8,2021
Cleveland Cavaliers,82,44,38,48.1,61.3,38.7,52.1,7.2,32.3,10.4,15.6,14.7,44.9,55.6,44.4,82.2,17.8,63.4,36.6,2021
Atlanta Hawks,82,43,39,48.1,61.0,39.0,50.2,10.1,33.9,8.5,15.9,13.7,40.1,52.9,47.1,73.5,26.5,59.3,40.7,2021
Charlotte Hornets,82,43,39,48.5,58.2,41.8,50.0,5.5,36.3,14.1,13.7,16.1,44.6,55.9,44.1,85.7,14.3,65.6,34.4,2021
LA Clippers,82,42,40,48.2,60.9,39.1,50.3,10.3,35.3,10.9,14.3,14.2,40.1,50.3,49.7,80.5,19.5,59.9,40.1,2021
New York Knicks,82,37,45,48.2,57.2,42.8,46.0,6.9,37.2,10.0,16.9,14.7,39.0,46.5,53.5,79.5,20.5,58.1,41.9,2021
New Orleans Pelicans,82,36,46,48.2,63.5,36.5,54.0,9.8,29.2,13.1,16.7,15.2,44.3,53.1,46.9,87.3,12.7,62.1,37.9,2021
Washington Wizards,82,35,47,48.4,64.4,35.6,55.4,10.2,29.0,9.0,15.6,12.9,45.2,53.2,46.8,86.0,14.0,61.7,38.3,2021
San Antonio Spurs,82,34,48,48.3,65.5,34.5,56.5,9.4,29.9,12.0,13.6,14.6,47.1,55.1,44.9,91.2,8.8,64.6,35.4,2021
Los Angeles Lakers,82,33,49,48.7,61.2,38.8,52.9,9.0,32.0,13.2,15.0,14.4,43.9,47.6,52.4,82.5,17.5,57.6,42.4,2021
Sacramento Kings,82,30,52,48.3,62.3,37.7,52.7,8.3,31.1,10.6,16.2,14.7,44.4,49.8,50.2,80.7,19.3,58.5,41.5,2021
Portland Trail Blazers,82,27,55,48.1,57.8,42.2,48.6,7.4,35.9,11.7,15.5,15.6,41.3,50.0,50.0,78.7,21.3,59.5,40.5,2021
Indiana Pacers,82,25,57,48.5,60.5,39.5,52.5,7.9,32.7,11.9,14.7,13.0,44.6,51.0,49.0,86.0,14.0,61.2,38.8,2021
Oklahoma City Thunder,82,24,58,48.3,58.1,41.9,50.6,5.4,35.0,10.3,14.5,14.4,45.2,46.6,53.4,82.8,17.2,58.0,42.0,2021
Detroit Pistons,82,23,59,48.2,60.9,39.1,51.3,7.8,32.3,10.0,16.4,16.2,43.5,49.8,50.2,89.3,10.7,61.5,38.5,2021
Orlando Magic,82,22,60,48.2,58.3,41.7,50.1,6.5,35.1,10.4,14.9,13.6,43.6,49.9,50.1,88.0,12.0,62.0,38.0,2021
Houston Rockets,82,20,62,48.2,55.2,44.8,47.2,2.7,36.8,11.1,15.9,14.7,44.5,50.2,49.8,78.4,21.6,59.8,40.2,2021
Utah Jazz,72,52,20,48.2,51.2,48.8,42.1,4.2,43.1,10.2,14.7,12.1,38.0,44.4,55.6,76.3,23.7,57.3,42.7,2020
Phoenix Suns,72,51,21,48.6,60.8,39.2,52.5,13.2,34.0,11.3,13.5,13.9,39.3,52.4,47.6,84.9,15.1,62.2,37.8,2020
Philadelphia 76ers,72,49,23,48.4,65.3,34.7,53.0,11.4,29.7,13.4,17.2,15.9,41.6,45.2,54.8,89.4,10.6,57.2,42.8,2020
Brooklyn Nets,72,48,24,48.3,58.7,41.3,48.9,7.4,35.8,12.1,15.3,13.3,41.5,53.6,46.4,79.5,20.5,62.1,37.9,2020
Denver Nuggets,72,47,25,48.6,61.7,38.3,52.8,9.6,33.6,10.8,13.6,15.6,43.2,52.3,47.7,85.1,14.9,62.1,37.9,2020
LA Clippers,72,47,25,48.0,60.0,40.0,48.3,11.3,37.5,9.1,14.2,14.0,37.0,45.4,54.6,83.4,16.6,58.4,41.6,2020
Milwaukee Bucks,72,46,26,48.1,59.6,40.4,50.5,9.9,36.0,12.1,13.5,13.6,40.6,46.8,53.2,78.2,21.8,56.9,43.1,2020
Dallas Mavericks,72,42,30,48.1,56.4,43.6,48.5,9.2,36.8,10.1,14.6,12.9,39.3,44.5,55.5,77.8,22.2,55.7,44.3,2020
Los Angeles Lakers,72,42,30,48.5,63.7,36.3,54.0,8.4,30.3,12.1,15.7,15.9,45.6,50.6,49.4,87.7,12.3,60.7,39.3,2020
Portland Trail Blazers,72,42,30,48.1,55.2,44.8,44.0,10.2,40.6,10.0,15.3,12.9,33.9,40.5,59.5,69.3,30.7,51.5,48.5,2020
Atlanta Hawks,72,41,31,48.3,61.8,38.2,49.9,7.8,32.8,8.8,17.3,12.9,42.0,50.4,49.6,79.1,20.9,59.1,40.9,2020
New York Knicks,72,41,31,48.4,65.3,34.7,51.7,10.6,33.0,8.3,15.3,14.1,41.1,41.6,58.4,84.2,15.8,54.3,45.7,2020
Miami Heat,72,40,32,48.3,56.8,43.2,48.6,7.6,35.9,11.0,15.4,16.4,41.1,56.2,43.8,89.3,10.7,67.1,32.9,2020
Golden State Warriors,72,39,33,48.1,56.1,43.9,47.0,7.1,38.4,12.7,14.6,15.3,39.9,59.5,40.5,80.6,19.4,67.0,33.0,2020
Memphis Grizzlies,72,38,34,48.3,65.8,34.2,56.0,6.7,29.5,15.3,14.5,16.3,49.3,54.3,45.7,87.2,12.8,62.8,37.2,2020
Boston Celtics,72,36,36,48.3,59.1,40.9,49.5,8.4,36.2,10.5,14.3,15.8,41.1,47.8,52.2,74.6,25.4,56.6,43.4,2020
Indiana Pacers,72,34,38,48.5,62.8,37.2,53.6,6.8,32.1,14.4,14.2,15.6,46.8,53.5,46.5,88.0,12.0,63.3,36.7,2020
Washington Wizards,72,34,38,48.3,68.1,31.9,56.6,11.3,26.2,9.6,17.3,15.4,45.2,50.1,49.9,88.0,12.0,59.0,41.0,2020
Charlotte Hornets,72,33,39,48.2,57.8,42.2,48.0,6.0,37.5,12.4,14.5,16.2,42.0,58.9,41.1,83.1,16.9,67.2,32.8,2020
San Antonio Spurs,72,33,39,48.6,68.6,31.4,57.5,14.4,26.9,10.6,15.7,14.2,43.0,49.2,50.8,87.7,12.3,58.4,41.6,2020
Chicago Bulls,72,31,41,48.3,61.7,38.3,53.5,8.9,34.0,10.4,12.5,13.1,44.6,54.9,45.1,83.8,16.2,63.5,36.5,2020
New Orleans Pelicans,72,31,41,48.4,65.8,34.2,55.7,8.2,27.7,12.3,16.6,13.3,47.5,52.6,47.4,87.1,12.9,61.2,38.8,2020
Sacramento Kings,72,31,41,48.1,62.4,37.6,53.6,6.7,32.0,12.4,14.4,14.4,46.9,51.6,48.4,80.5,19.5,59.9,40.1,2020
Toronto Raptors,72,27,45,48.1,55.6,44.4,45.4,6.2,39.0,12.3,15.6,16.7,39.2,48.3,51.7,82.2,17.8,60.7,39.3,2020
Minnesota Timberwolves,72,23,49,48.3,58.7,41.3,49.3,5.3,35.1,10.8,15.7,16.5,44.0,53.2,46.8,83.5,16.5,63.0,37.0,2020
Cleveland Cavaliers,72,22,50,48.4,65.3,34.7,55.1,5.9,28.9,10.9,16.1,15.7,49.1,54.0,46.0,84.0,16.0,61.8,38.2,2020
Oklahoma City Thunder,72,22,50,48.2,60.1,39.9,51.3,5.8,34.0,8.8,14.7,13.6,45.4,45.5,54.5,82.4,17.6,56.8,43.2,2020
Orlando Magic,72,21,51,48.1,64.4,35.6,52.6,12.6,31.4,9.9,16.0,12.9,40.0,46.9,53.1,82.7,17.3,57.0,43.0,2020
Detroit Pistons,72,20,52,48.4,61.5,38.5,50.8,6.4,32.5,10.0,16.6,15.5,44.5,50.9,49.1,90.1,9.9,62.6,37.4,2020
Houston Rockets,72,17,55,48.1,54.1,45.9,46.8,3.9,38.0,10.2,15.2,16.6,42.9,48.6,51.4,81.4,18.6,60.1,39.9,2020
Milwaukee Bucks,73,56,17,48.2,57.2,42.8,49.7,8.2,34.9,15.1,15.4,14.0,41.5,49.8,50.2,81.1,18.9,59.8,40.2,2019
Toronto Raptors,72,53,19,48.3,57.9,42.1,46.9,5.4,36.8,16.7,16.4,17.3,41.5,53.0,47.0,81.1,18.9,62.7,37.3,2019
Los Angeles Lakers,71,52,19,48.1,64.2,35.8,55.2,8.7,29.1,16.2,15.6,16.7,46.5,51.8,48.2,83.1,16.9,60.0,40.0,2019
LA Clippers,72,49,23,48.3,62.5,37.5,50.1,9.0,32.1,11.8,17.9,15.4,41.0,46.5,53.5,81.8,18.2,57.1,42.9,2019
Boston Celtics,72,48,24,48.4,61.4,38.6,50.5,8.5,33.2,13.4,16.3,15.5,42.0,49.1,50.9,70.7,29.3,55.7,44.3,2019
Denver Nuggets,73,46,27,48.6,65.6,34.4,55.8,11.1,29.6,10.6,14.6,14.9,44.7,56.0,44.0,85.3,14.7,63.6,36.4,2019
Indiana Pacers,73,45,28,48.3,68.3,31.7,58.4,13.3,27.9,11.7,13.7,15.8,45.1,53.3,46.7,86.7,13.3,61.4,38.6,2019
Houston Rockets,72,44,28,48.3,49.9,50.1,42.7,3.7,39.8,12.4,17.5,16.1,38.9,43.0,57.0,69.2,30.8,53.0,47.0,2019
Miami Heat,73,44,29,48.6,58.1,41.9,46.5,7.3,35.9,10.1,17.6,14.5,39.1,55.8,44.2,84.9,15.1,65.7,34.3,2019
Oklahoma City Thunder,72,44,28,48.4,64.7,35.3,53.1,11.7,29.1,8.6,17.9,15.3,41.4,45.7,54.3,77.8,22.2,54.3,45.7,2019
Utah Jazz,72,44,28,48.2,58.6,41.4,48.0,5.7,36.1,9.4,15.9,12.8,42.3,45.2,54.8,77.5,22.5,56.0,44.0,2019
Dallas Mavericks,75,43,32,48.5,54.3,45.7,45.3,7.0,38.8,10.0,15.9,12.4,38.3,48.3,51.7,78.3,21.7,59.2,40.8,2019
Philadelphia 76ers,73,43,30,48.2,64.0,36.0,53.2,10.3,31.5,12.2,15.3,14.4,42.9,51.6,48.4,91.3,8.7,62.8,37.2,2019
Brooklyn Nets,72,35,37,48.6,57.7,42.3,48.9,4.5,35.1,11.7,16.0,13.2,44.3,51.8,48.2,78.9,21.1,60.6,39.4,2019
Portland Trail Blazers,74,35,39,48.2,62.6,37.4,51.0,12.2,33.6,11.4,15.4,12.4,38.8,40.9,59.1,66.9,33.1,48.8,51.2,2019
Memphis Grizzlies,73,34,39,48.1,65.4,34.6,56.1,6.5,29.1,15.2,14.7,15.2,49.6,54.7,45.3,88.0,12.0,63.3,36.7,2019
Phoenix Suns,73,34,39,48.2,63.9,36.1,52.4,10.4,30.1,12.9,17.5,16.2,42.0,57.4,42.6,88.9,11.1,66.1,33.9,2019
Orlando Magic,73,33,40,48.1,63.6,36.4,52.7,10.4,30.9,11.1,16.4,15.9,42.3,51.1,48.9,85.9,14.1,60.8,39.2,2019
