TEAM,GP,W,L,MIN,"%FGA
San Antonio Spurs,71,32,39,48.5,68.2,31.8,55.2,17.0,28.2,11.7,16.6,13.8,38.2,48.1,51.9,88.8,11.2,58.5,41.5,2019
Sacramento Kings,72,31,41,48.5,60.5,39.5,51.2,8.5,34.6,11.6,14.2,15.8,42.7,47.1,52.9,82.8,17.2,58.2,41.8,2019
New Orleans Pelicans,72,30,42,48.4,59.7,40.3,49.9,6.9,35.3,14.3,14.7,14.4,43.0,51.6,48.4,87.4,12.6,63.0,37.0,2019
Washington Wizards,72,25,47,48.2,64.2,35.8,51.6,11.7,31.5,11.7,16.9,16.2,39.9,50.9,49.1,83.2,16.8,60.2,39.8,2019
Charlotte Hornets,65,23,42,48.5,60.1,39.9,49.1,3.9,35.2,11.3,15.7,15.7,45.2,56.0,44.0,80.3,19.7,63.9,36.1,2019
Chicago Bulls,65,22,43,48.2,60.4,39.6,51.3,5.0,34.3,13.9,14.5,19.8,46.3,48.7,51.3,81.2,18.8,58.7,41.3,2019
New York Knicks,66,21,45,48.4,68.2,31.8,57.5,11.5,27.1,8.9,15.4,14.9,45.9,45.1,54.9,87.2,12.8,55.2,44.8,2019
Atlanta Hawks,67,20,47,48.6,60.2,39.8,51.2,6.1,32.3,11.5,16.5,15.0,45.1,52.5,47.5,74.3,25.7,58.9,41.1,2019
Detroit Pistons,66,20,46,48.4,61.9,38.1,51.0,6.0,33.5,10.2,15.5,14.8,45.0,49.9,50.1,87.1,12.9,61.2,38.8,2019
Cleveland Cavaliers,65,19,46,48.4,63.8,36.2,54.5,8.4,31.4,9.9,14.1,13.4,46.1,47.2,52.8,83.5,16.5,57.3,42.7,2019
Minnesota Timberwolves,64,19,45,48.6,56.7,43.3,47.8,4.4,35.3,9.9,16.9,14.7,43.4,49.0,51.0,79.1,20.9,59.0,41.0,2019
Golden State Warriors,65,15,50,48.4,64.5,35.5,53.0,11.8,29.4,12.9,17.6,16.0,41.2,59.7,40.3,84.1,15.9,66.3,33.7,2019
Milwaukee Bucks,82,60,22,48.2,58.1,41.9,50.6,5.5,34.2,15.0,15.2,14.1,45.1,50.0,50.0,82.5,17.5,60.1,39.9,2018
Toronto Raptors,82,58,24,48.5,62.1,37.9,52.1,9.7,32.4,16.0,15.4,15.1,42.4,49.9,50.1,85.2,14.8,60.3,39.7,2018
Golden State Warriors,82,57,25,48.3,61.6,38.4,52.3,15.6,33.8,16.2,13.9,13.8,36.7,61.0,39.0,80.3,19.7,66.8,33.2,2018
Denver Nuggets,82,54,28,48.1,65.2,34.8,55.9,8.8,29.9,11.4,14.3,14.2,47.1,57.1,42.9,88.3,11.7,65.3,34.7,2018
Houston Rockets,82,53,29,48.4,48.1,51.9,40.6,3.6,42.5,10.6,16.9,15.8,37.0,48.2,51.8,62.6,37.4,54.1,45.9,2018
Portland Trail Blazers,82,53,29,48.4,66.1,33.9,54.6,11.6,28.8,9.6,16.6,13.1,43.0,47.2,52.8,74.9,25.1,54.4,45.6,2018
Philadelphia 76ers,82,51,31,48.3,65.8,34.2,53.3,10.4,28.2,13.0,18.4,13.3,42.9,54.6,45.4,93.7,6.3,64.8,35.2,2018
Utah Jazz,82,50,32,48.2,60.6,39.4,50.7,6.1,32.5,9.5,16.8,14.7,44.6,55.6,44.4,84.8,15.2,64.4,35.6,2018
Boston Celtics,82,49,33,48.2,61.9,38.1,52.5,12.7,33.6,14.5,13.9,16.1,39.8,52.7,47.3,85.4,14.6,62.4,37.6,2018
Oklahoma City Thunder,82,49,33,48.4,65.3,34.7,54.7,9.4,29.8,15.9,15.6,16.8,45.3,45.1,54.9,81.4,18.6,54.8,45.2,2018
Indiana Pacers,82,48,34,48.1,70.8,29.2,59.0,13.7,26.4,13.5,14.7,17.6,45.2,55.7,44.3,86.4,13.6,62.8,37.2,2018
LA Clippers,82,48,34,48.4,70.5,29.5,54.3,9.8,26.1,12.4,19.6,13.5,44.5,49.7,50.3,84.9,15.1,58.2,41.8,2018
San Antonio Spurs,82,48,34,48.3,71.4,28.6,58.0,19.3,26.6,9.3,15.4,12.6,38.7,49.4,50.6,86.5,13.5,58.0,42.0,2018
Brooklyn Nets,82,42,40,48.7,59.7,40.3,49.0,5.5,34.1,10.4,16.9,13.7,43.4,50.8,49.2,77.4,22.6,59.2,40.8,2018
Orlando Magic,82,42,40,48.2,64.0,36.0,54.1,13.0,31.9,10.1,14.0,14.2,41.0,55.3,44.7,83.2,16.8,63.2,36.8,2018
Detroit Pistons,82,41,41,48.4,60.6,39.4,49.9,8.1,33.9,9.4,16.1,14.8,41.9,46.5,53.5,83.1,16.9,57.9,42.1,2018
Charlotte Hornets,82,39,43,48.4,62.2,37.8,51.1,8.9,32.3,10.6,16.6,14.5,42.2,49.4,50.6,77.7,22.3,57.8,42.2,2018
Miami Heat,82,39,43,48.1,63.2,36.8,53.6,7.3,32.1,9.4,14.3,14.7,46.3,50.5,49.5,88.0,12.0,61.2,38.8,2018
Sacramento Kings,82,39,43,48.1,67.9,32.1,55.8,10.4,29.7,18.3,14.5,16.9,45.4,50.7,49.3,81.8,18.2,58.8,41.2,2018
Los Angeles Lakers,82,37,45,48.2,65.8,34.2,57.7,7.9,27.7,17.3,14.6,15.0,49.8,53.9,46.1,79.3,20.7,60.0,40.0,2018
Minnesota Timberwolves,82,36,46,48.4,68.5,31.5,56.1,12.1,26.9,10.4,17.0,15.5,44.0,50.5,49.5,86.2,13.8,59.1,40.9,2018
Dallas Mavericks,82,33,49,48.2,57.8,42.2,48.4,7.5,34.3,11.3,17.3,13.4,40.9,50.6,49.4,80.6,19.4,60.3,39.7,2018
Memphis Grizzlies,82,33,49,48.5,65.8,34.2,54.2,9.5,28.7,11.9,17.1,16.6,44.8,56.2,43.8,82.6,17.4,63.1,36.9,2018
New Orleans Pelicans,82,33,49,48.2,67.6,32.4,57.9,7.4,26.7,12.8,15.4,14.0,50.4,54.2,45.8,86.9,13.1,61.9,38.1,2018
Washington Wizards,82,32,50,48.6,63.0,37.0,54.0,10.1,29.8,12.4,16.1,15.5,43.9,53.3,46.7,86.8,13.2,62.3,37.7,2018
Atlanta Hawks,82,29,53,48.4,59.7,40.3,50.0,4.9,34.4,13.4,15.5,15.0,45.1,53.3,46.7,82.4,17.6,62.4,37.6,2018
Chicago Bulls,82,22,60,48.5,70.5,29.5,58.6,10.2,26.0,11.5,15.4,14.5,48.4,46.5,53.5,83.8,16.2,55.0,45.0,2018
Cleveland Cavaliers,82,19,63,48.2,66.8,33.2,54.7,12.1,29.7,10.1,15.7,13.8,42.6,43.5,56.5,80.2,19.8,53.2,46.8,2018
Phoenix Suns,82,19,63,48.5,66.5,33.5,56.7,10.4,26.9,14.1,16.4,17.0,46.3,52.8,47.2,80.8,19.2,59.5,40.5,2018
New York Knicks,82,17,65,48.2,66.6,33.4,53.9,11.8,28.8,10.6,17.3,14.1,42.1,41.8,58.2,82.6,17.4,52.5,47.5,2018
Houston Rockets,82,65,17,48.2,49.8,50.2,41.6,5.4,40.9,10.2,17.5,15.5,36.2,47.0,53.0,68.9,31.1,55.7,44.3,2017
Toronto Raptors,82,59,23,48.4,62.3,37.7,52.8,9.2,31.7,11.9,15.5,15.4,43.6,49.9,50.1,81.6,18.4,59.0,41.0,2017
Golden State Warriors,82,58,24,48.1,66.1,33.9,55.5,16.7,29.9,17.0,14.6,15.2,38.9,64.3,35.7,80.1,19.9,68.5,31.5,2017
Boston Celtics,82,55,27,48.3,64.3,35.7,51.6,13.4,33.0,9.1,15.3,14.8,38.3,49.0,51.0,81.3,18.7,58.6,41.4,2017
Philadelphia 76ers,82,52,30,48.2,65.6,34.4,54.4,11.4,30.0,10.4,15.6,15.4,43.0,55.6,44.4,95.4,4.6,66.3,33.7,2017
Cleveland Cavaliers,82,50,32,48.1,62.1,37.9,51.3,11.4,32.4,11.3,16.4,14.6,39.9,47.8,52.2,81.9,18.1,57.9,42.1,2017
Portland Trail Blazers,82,49,33,48.2,67.6,32.4,54.9,14.1,29.3,7.6,15.8,13.3,40.8,41.6,58.4,72.1,27.9,49.6,50.4,2017
Indiana Pacers,82,48,34,48.2,71.6,28.4,60.2,17.8,25.7,14.0,14.2,17.3,42.4,46.5,53.5,81.9,18.1,54.4,45.6,2017
New Orleans Pelicans,82,48,34,48.7,68.1,31.9,58.1,11.2,27.4,13.7,14.5,14.6,46.9,54.9,45.1,87.6,12.4,62.7,37.3,2017
Oklahoma City Thunder,82,48,34,48.4,65.5,34.5,54.0,13.3,29.9,14.1,16.1,17.3,40.7,42.6,57.4,83.1,16.9,53.5,46.5,2017
Utah Jazz,82,48,34,48.2,64.3,35.7,52.7,10.1,31.2,9.8,16.1,16.1,42.6,50.0,50.0,80.5,19.5,58.6,41.4,2017
Minnesota Timberwolves,82,47,35,48.3,73.9,26.1,60.3,15.3,22.0,8.8,17.7,16.2,44.9,48.7,51.3,82.5,17.5,55.3,44.7,2017
San Antonio Spurs,82,47,35,48.1,71.8,28.2,59.5,16.9,24.8,10.0,15.7,15.9,42.6,49.6,50.4,89.7,10.3,58.3,41.7,2017
Denver Nuggets,82,46,36,48.5,64.3,35.7,53.2,8.6,31.3,12.2,15.6,15.4,44.5,52.6,47.4,84.8,15.2,61.7,38.3,2017
Miami Heat,82,44,38,48.6,64.2,35.8,53.8,10.4,31.9,9.0,14.3,15.9,43.4,45.7,54.3,90.8,9.2,58.5,41.5,2017
Milwaukee Bucks,82,44,38,48.4,70.3,29.7,58.2,13.7,24.7,13.8,17.2,17.2,44.5,50.1,49.9,88.3,11.7,58.5,41.5,2017
Washington Wizards,82,43,39,48.4,69.0,31.0,56.3,16.7,27.9,10.9,15.8,16.2,39.6,54.8,45.2,88.0,12.0,63.1,36.9,2017
LA Clippers,82,42,40,48.1,68.6,31.4,56.5,8.6,26.1,12.2,17.4,14.5,47.9,50.2,49.8,72.6,27.4,55.5,44.5,2017
Detroit Pistons,82,39,43,48.3,66.7,33.3,54.6,12.6,31.2,10.4,14.2,16.0,42.0,46.5,53.5,88.9,11.1,58.2,41.8,2017
Charlotte Hornets,82,36,46,48.2,68.6,31.4,53.5,13.1,27.9,8.6,18.7,14.9,40.4,48.3,51.7,75.6,24.4,55.4,44.6,2017
Los Angeles Lakers,82,35,47,48.5,67.1,32.9,56.8,8.8,27.8,16.2,15.4,15.1,48.0,49.2,50.8,86.5,13.5,58.4,41.6,2017
New York Knicks,82,29,53,48.4,73.4,26.6,62.1,17.4,23.6,8.2,14.3,14.5,44.7,49.9,50.1,86.9,13.1,57.3,42.7,2017
Brooklyn Nets,82,28,54,48.4,58.9,41.1,47.9,6.8,35.7,10.0,16.3,13.3,41.1,50.7,49.3,84.4,15.6,61.9,38.1,2017
Chicago Bulls,82,27,55,48.4,65.0,35.0,53.6,13.1,32.2,11.4,14.1,14.6,40.6,51.0,49.0,84.8,15.2,60.7,39.3,2017
Sacramento Kings,82,27,55,48.2,72.2,27.8,60.2,16.2,27.3,10.6,12.4,15.4,44.0,47.7,52.3,81.7,18.3,55.6,44.4,2017
Orlando Magic,82,25,57,48.1,65.8,34.2,55.1,11.1,29.9,12.2,15.0,15.1,44.1,51.5,48.5,85.1,14.9,60.4,39.6,2017
Atlanta Hawks,82,24,58,48.1,63.7,36.3,52.2,12.3,32.5,10.0,15.3,17.2,40.0,52.0,48.0,86.8,13.2,62.2,37.8,2017
Dallas Mavericks,82,24,58,48.3,61.8,38.2,51.5,13.6,34.6,9.7,13.9,14.4,37.9,49.1,50.9,82.4,17.6,59.4,40.6,2017
Memphis Grizzlies,82,22,60,48.1,68.3,31.7,55.4,12.8,27.9,13.3,16.7,17.2,42.6,51.0,49.0,81.5,18.5,58.6,41.4,2017
Phoenix Suns,82,21,61,48.1,68.0,32.0,56.1,11.8,26.9,13.8,17.0,14.4,44.3,46.7,53.3,82.3,17.7,55.3,44.7,2017
Golden State Warriors,82,67,15,48.2,64.1,35.9,53.7,13.4,31.0,19.5,15.3,16.7,40.2,65.6,34.4,83.4,16.6,70.5,29.5,2016
San Antonio Spurs,82,61,21,48.3,71.9,28.1,57.2,19.6,26.2,11.5,16.7,16.4,37.6,52.5,47.5,87.4,12.6,60.6,39.4,2016
Houston Rockets,82,55,27,48.2,53.8,46.2,44.9,4.4,37.5,14.5,17.6,16.2,40.5,54.6,45.4,77.1,22.9,62.6,37.4,2016
Boston Celtics,82,53,29,48.2,60.7,39.3,49.3,10.6,33.4,11.5,17.3,15.1,38.7,57.0,43.0,83.7,16.3,65.3,34.7,2016
Cleveland Cavaliers,82,51,31,48.5,60.1,39.9,48.8,13.0,35.4,11.7,15.8,13.3,35.8,44.1,55.9,82.9,17.1,56.7,43.3,2016
LA Clippers,82,51,31,48.2,67.1,32.9,53.9,17.1,28.3,12.8,17.8,14.0,36.7,49.4,50.6,78.6,21.4,57.0,43.0,2016
Toronto Raptors,82,51,31,48.2,71.1,28.9,56.7,15.8,24.8,11.4,18.4,16.2,40.9,37.2,62.8,81.8,18.2,47.2,52.8,2016
Utah Jazz,82,51,31,48.2,67.3,32.7,54.3,11.8,28.7,8.1,17.0,14.6,42.5,45.4,54.6,80.0,20.0,54.4,45.6,2016
Washington Wizards,82,49,33,48.4,71.6,28.4,58.8,17.6,25.3,14.6,15.9,16.2,41.2,49.6,50.4,86.0,14.0,57.7,42.3,2016
Oklahoma City Thunder,82,47,35,48.3,70.5,29.5,58.2,11.4,23.8,15.8,18.0,14.7,46.8,46.6,53.4,77.3,22.7,53.2,46.8,2016
Atlanta Hawks,82,43,39,48.5,69.1,30.9,56.6,15.2,25.9,11.8,17.5,15.8,41.4,54.2,45.8,87.9,12.1,62.1,37.9,2016
Memphis Grizzlies,82,43,39,48.5,68.4,31.6,53.8,13.5,27.9,10.1,18.3,16.0,40.3,50.4,49.6,81.6,18.4,58.4,41.6,2016
Indiana Pacers,82,42,40,48.4,72.8,27.2,58.3,18.4,24.7,10.1,17.0,15.8,39.8,49.8,50.2,83.6,16.4,57.2,42.8,2016
Milwaukee Bucks,82,42,40,48.2,71.0,29.0,57.9,11.0,25.4,13.3,16.6,16.7,46.9,53.4,46.6,92.9,7.1,62.4,37.6,2016
Chicago Bulls,82,41,41,48.2,74.4,25.6,60.4,18.3,22.2,13.4,17.5,15.2,42.1,51.3,48.7,87.5,12.5,58.4,41.6,2016
Miami Heat,82,41,41,48.2,68.6,31.4,56.6,12.8,28.7,10.8,14.8,15.4,43.8,42.7,57.3,89.1,10.9,54.4,45.6,2016
Portland Trail Blazers,82,41,41,48.6,67.8,32.2,54.0,14.8,28.9,10.5,17.1,13.6,39.2,44.4,55.6,78.9,21.1,53.4,46.6,2016
Denver Nuggets,82,40,42,48.2,67.1,32.9,54.7,10.1,28.5,12.7,16.8,12.6,44.6,52.6,47.4,87.1,12.9,61.5,38.5,2016
Detroit Pistons,82,37,45,48.3,73.7,26.3,63.5,20.9,22.8,11.8,13.7,14.7,42.6,45.5,54.5,84.5,15.5,53.0,47.0,2016
Charlotte Hornets,82,36,46,48.4,66.5,33.5,52.8,14.7,28.7,9.0,18.5,14.2,38.0,54.5,45.5,79.5,20.5,61.1,38.9,2016
New Orleans Pelicans,82,34,48,48.5,69.2,30.8,57.1,14.8,26.9,14.4,16.0,14.0,42.3,50.3,49.7,83.5,16.5,58.2,41.8,2016
Dallas Mavericks,82,33,49,48.2,63.4,36.6,52.1,18.6,32.8,7.9,15.1,16.1,33.5,47.4,52.6,81.3,18.7,57.4,42.6,2016
Sacramento Kings,82,32,50,48.5,70.9,29.1,56.2,14.3,26.2,10.4,17.6,15.8,41.9,50.6,49.4,87.7,12.3,59.4,40.6,2016
Minnesota Timberwolves,82,31,51,48.3,75.1,24.9,60.9,17.6,20.8,12.1,18.3,15.8,43.2,53.5,46.5,88.5,11.5,60.0,40.0,2016
New York Knicks,82,31,51,48.4,72.1,27.9,59.4,20.7,24.7,10.4,15.9,13.8,38.7,46.9,53.1,84.5,15.5,55.1,44.9,2016
Orlando Magic,82,29,53,48.3,70.0,30.0,58.8,17.1,25.4,13.9,15.8,14.8,41.8,49.5,50.5,87.6,12.4,58.0,42.0,2016
Philadelphia 76ers,82,28,54,48.4,65.1,34.9,53.7,10.5,29.7,12.6,16.6,16.9,43.3,54.1,45.9,87.7,12.3,63.1,36.9,2016
Los Angeles Lakers,82,26,56,48.1,70.5,29.5,58.2,12.5,25.5,14.5,16.3,16.6,45.6,46.2,53.8,77.4,22.6,53.2,46.8,2016
Phoenix Suns,82,24,58,48.4,74.5,25.5,60.1,16.1,20.9,18.0,19.0,16.4,44.1,42.1,57.9,79.0,21.0,49.1,50.9,2016
Brooklyn Nets,82,20,62,48.2,62.9,37.1,51.3,7.9,30.3,13.2,18.4,14.2,43.4,45.4,54.6,85.1,14.9,56.6,43.4,2016
Golden State Warriors,82,73,9,48.5,63.8,36.2,51.2,12.4,34.3,18.2,14.5,14.8,38.8,62.6,37.4,80.1,19.9,68.0,32.0,2015
San Antonio Spurs,82,67,15,48.1,77.7,22.3,64.1,22.0,20.1,10.0,15.8,15.5,42.1,54.9,45.1,90.5,9.5,61.1,38.9,2015
Cleveland Cavaliers,82,57,25,48.4,64.8,35.2,53.6,14.3,30.9,11.4,15.6,15.6,39.3,48.1,51.9,86.3,13.7,58.7,41.3,2015
Toronto Raptors,82,56,26,48.2,71.3,28.7,54.6,13.6,25.2,10.7,20.2,16.3,41.0,40.0,60.0,87.0,13.0,51.1,48.9,2015
Oklahoma City Thunder,82,55,27,48.4,72.5,27.5,59.6,16.4,22.5,15.7,17.9,13.7,43.3,50.8,49.2,75.8,24.2,55.8,44.2,2015
LA Clippers,82,53,29,48.4,67.6,32.4,54.7,18.6,27.9,12.3,17.4,16.2,36.1,52.6,47.4,80.2,19.8,59.6,40.4,2015
Atlanta Hawks,82,48,34,48.4,66.4,33.6,55.8,13.6,29.0,14.3,15.2,18.0,42.2,58.2,41.8,89.6,10.4,66.3,33.7,2015
Boston Celtics,82,48,34,48.2,70.7,29.3,57.7,14.2,24.8,15.4,17.5,17.8,43.4,54.6,45.4,85.9,14.1,61.6,38.4,2015
Charlotte Hornets,82,48,34,48.4,65.2,34.8,51.0,14.7,30.9,10.7,18.1,15.4,36.3,48.2,51.8,84.2,15.8,58.6,41.4,2015
Miami Heat,82,48,34,48.4,77.9,22.1,64.7,18.2,18.2,11.1,17.1,14.8,46.4,47.0,53.0,92.8,7.2,54.3,45.7,2015
Indiana Pacers,82,45,37,48.5,73.0,27.0,59.2,19.2,23.7,13.1,17.1,18.5,40.0,48.7,51.3,80.4,19.6,55.4,44.6,2015
Detroit Pistons,82,44,38,48.5,69.7,30.3,56.7,14.1,26.6,10.9,16.7,15.1,42.7,42.2,57.8,80.3,19.7,51.2,48.8,2015
Portland Trail Blazers,82,44,38,48.3,66.8,33.2,53.4,16.3,30.1,10.2,16.5,14.0,37.2,46.9,53.1,77.2,22.8,55.2,44.8,2015
Chicago Bulls,82,42,40,48.5,75.6,24.4,60.3,20.0,23.4,10.0,16.2,13.1,40.3,51.5,48.5,88.5,11.5,59.1,40.9,2015
Dallas Mavericks,82,42,40,48.8,66.1,33.9,53.8,16.7,28.8,11.0,17.3,15.6,37.1,50.0,50.0,85.0,15.0,59.2,40.8,2015
Memphis Grizzlies,82,42,40,48.4,77.8,22.2,61.9,17.5,18.6,12.7,19.5,18.0,44.4,50.2,49.8,86.1,13.9,56.2,43.8,2015
Houston Rockets,82,41,41,48.4,63.0,37.0,50.7,7.8,30.1,17.0,19.1,17.7,42.9,50.8,49.2,79.3,20.7,58.9,41.1,2015
Washington Wizards,82,41,41,48.2,71.8,28.2,59.3,18.5,24.9,17.8,15.8,16.8,40.7,54.8,45.2,87.3,12.7,61.9,38.1,2015
Utah Jazz,82,40,42,48.7,70.3,29.7,56.5,13.8,26.0,9.5,17.5,15.9,42.7,43.4,56.6,82.3,17.7,52.6,47.4,2015
Orlando Magic,82,35,47,48.5,74.5,25.5,62.3,19.6,22.8,12.1,14.9,17.4,42.7,52.8,47.2,87.4,12.6,59.6,40.4,2015
Denver Nuggets,82,33,49,48.4,72.3,27.7,58.3,13.3,23.6,13.9,18.1,15.4,45.0,54.3,45.7,81.4,18.6,60.1,39.9,2015
Milwaukee Bucks,82,33,49,48.4,81.1,18.9,66.6,15.6,16.3,13.9,17.1,18.6,51.0,55.5,44.5,89.8,10.2,60.3,39.7,2015
Sacramento Kings,82,33,49,48.3,74.0,26.0,60.0,13.6,22.7,16.2,17.3,16.5,46.5,55.0,45.0,85.8,14.2,61.2,38.8,2015
New York Knicks,82,32,50,48.3,74.4,25.6,59.8,23.5,22.7,8.6,17.5,12.0,36.4,47.7,52.3,87.0,13.0,55.7,44.3,2015
New Orleans Pelicans,82,30,52,48.2,72.3,27.7,58.2,17.9,25.0,12.1,16.8,14.6,40.3,51.0,49.0,80.9,19.1,57.7,42.3,2015
Minnesota Timberwolves,82,29,53,48.5,79.8,20.2,62.9,19.8,16.3,13.3,20.9,16.1,43.1,57.8,42.2,85.7,14.3,61.9,38.1,2015
Phoenix Suns,82,23,59,48.1,69.8,30.2,55.9,14.9,26.8,14.3,17.3,16.4,41.1,47.0,53.0,83.2,16.8,55.8,44.2,2015
Brooklyn Nets,82,21,61,48.2,78.2,21.8,64.4,17.6,19.7,11.6,15.9,15.2,46.8,53.0,47.0,84.4,15.6,58.3,41.7,2015
Los Angeles Lakers,82,17,65,48.1,71.0,29.0,56.2,17.0,24.0,12.5,19.8,14.0,39.2,45.0,55.0,73.4,26.6,51.3,48.7,2015
Philadelphia 76ers,82,10,72,48.3,67.3,32.7,55.2,10.9,28.7,12.5,16.1,17.0,44.3,50.1,49.9,86.3,13.7,59.4,40.6,2015
Golden State Warriors,82,67,15,48.1,68.9,31.1,56.1,14.9,29.4,19.0,14.6,17.9,41.2,60.2,39.8,82.2,17.8,65.9,34.1,2014
Atlanta Hawks,82,60,22,48.1,67.9,32.1,54.8,14.4,29.2,13.0,16.0,17.9,40.4,59.1,40.9,91.8,8.2,67.6,32.4,2014
Houston Rockets,82,56,26,48.3,60.8,39.2,49.3,5.7,32.8,18.0,17.9,18.2,43.6,49.7,50.3,83.3,16.7,60.0,40.0,2014
Los Angeles Clippers,82,56,26,48.1,67.8,32.2,54.9,19.8,28.4,13.3,16.8,14.7,35.1,56.3,43.7,82.2,17.8,62.9,37.1,2014
Memphis Grizzlies,82,55,27,48.5,81.6,18.4,66.3,18.4,15.7,11.9,17.9,17.1,48.0,52.8,47.2,86.5,13.5,57.4,42.6,2014
San Antonio Spurs,82,55,27,48.7,73.1,26.9,59.8,16.2,24.0,10.6,16.2,15.6,43.6,54.4,45.6,92.0,8.0,62.3,37.7,2014
Cleveland Cavaliers,82,53,29,48.2,66.6,33.4,53.5,13.8,29.3,11.0,17.2,15.5,39.7,50.9,49.1,80.3,19.7,58.7,41.3,2014
